,"[('der', 'gen'), ('der', 'usd'), ('ent', 'ent')]","[['der', 'der', 'ent']]","[['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['gen', 'act']]","[['gen', 'usd', 'ent']]","[['usd', 'der', 'ent']]","[['usd', 'ent'], ['usd', 'ent'], ['usd', 'ent']]","[['usd', 'ent'], ['usd', 'ent']]","[['usd', 'ent']]",act,ent,label
115,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
116,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
117,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
118,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
119,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
120,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
121,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
122,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
123,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
124,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
125,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
126,2,3,0,0,3,9,7,2,0,1,8,9,13,Trusted
127,0,0,0,0,0,3,3,0,0,0,2,2,4,Trusted
128,2,16,0,0,8,18,7,9,0,5,11,16,27,Uncertain
129,0,1,0,0,0,17,16,1,0,0,10,10,18,Trusted
130,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
131,4,31,1,4,33,34,8,17,5,5,26,38,74,Uncertain
132,0,0,0,0,0,12,12,0,0,0,6,6,13,Trusted
133,2,0,0,0,2,4,4,0,0,0,3,3,7,Uncertain
134,2,21,1,1,18,35,11,11,1,5,20,27,56,Uncertain
135,4,12,1,1,13,15,5,7,1,2,11,15,31,Uncertain
136,0,0,0,0,0,3,3,0,0,0,2,2,4,Trusted
137,2,8,0,1,6,11,4,4,1,1,6,8,19,Uncertain
138,2,5,0,0,3,9,5,2,0,1,4,5,13,Uncertain
139,0,0,0,0,0,5,5,0,0,0,2,2,6,Trusted
140,2,46,1,3,31,45,9,22,2,11,25,41,82,Uncertain
141,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
142,0,8,0,1,13,55,37,6,3,2,29,34,71,Uncertain
143,0,9,0,0,5,22,2,5,0,3,10,13,29,Trusted
144,2,8,0,1,12,16,2,5,3,2,8,13,30,Uncertain
145,2,14,0,0,5,20,7,4,0,3,8,11,26,Trusted
146,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
147,0,2,0,0,0,16,14,2,0,0,6,6,17,Uncertain
148,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
149,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
150,2,16,0,0,7,17,5,9,0,5,8,13,25,Uncertain
151,0,1,0,0,0,17,16,1,0,0,10,10,18,Trusted
152,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
153,2,12,0,1,11,16,5,8,3,2,11,16,29,Uncertain
154,2,12,0,0,5,16,7,6,0,3,8,11,22,Trusted
155,0,0,0,0,0,12,12,0,0,0,6,6,13,Trusted
156,2,20,0,2,12,25,9,12,2,4,17,23,40,Trusted
157,4,9,0,0,6,22,14,3,0,2,12,14,29,Trusted
158,0,1,0,0,0,10,9,1,0,0,4,4,11,Uncertain
159,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
160,2,9,0,1,10,22,13,6,3,1,16,20,34,Uncertain
161,2,12,0,0,5,13,4,6,0,3,6,9,19,Uncertain
162,0,0,0,0,0,12,12,0,0,0,6,6,13,Trusted
163,2,16,0,0,7,23,11,9,0,5,16,21,31,Trusted
164,0,1,0,0,0,17,16,1,0,0,10,10,18,Trusted
165,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
166,2,15,0,0,9,18,7,6,0,5,9,14,28,Uncertain
167,0,4,0,0,0,18,14,4,0,0,9,9,19,Uncertain
168,0,0,0,0,0,3,3,0,0,0,3,3,4,Trusted
169,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
170,4,12,0,0,8,18,10,8,0,4,14,18,27,Trusted
171,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
172,0,0,0,0,0,3,3,0,0,0,2,2,4,Trusted
173,4,20,0,0,12,26,12,12,0,7,19,26,39,Uncertain
174,0,3,0,0,0,13,10,3,0,0,8,8,14,Uncertain
175,0,0,0,0,0,3,3,0,0,0,3,3,4,Trusted
176,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
177,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
178,2,16,1,1,21,23,5,11,3,2,14,22,47,Uncertain
179,2,18,0,1,12,26,7,10,3,3,12,18,40,Trusted
180,2,15,0,0,5,25,13,6,0,3,10,13,31,Trusted
181,0,0,0,0,0,15,15,0,0,0,6,6,16,Trusted
182,0,0,0,0,0,10,10,0,0,0,9,9,11,Trusted
183,4,36,0,2,28,35,6,15,5,8,18,31,66,Uncertain
184,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
185,0,2,0,0,0,16,14,2,0,0,7,7,17,Uncertain
186,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
187,0,9,0,0,9,30,15,5,0,5,15,20,40,Uncertain
188,2,15,0,0,5,14,2,10,0,3,9,12,21,Uncertain
189,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
190,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
191,2,2,0,0,3,7,2,2,0,2,4,6,11,Uncertain
192,0,0,0,0,0,6,6,0,0,0,4,4,7,Trusted
193,2,33,0,4,32,34,5,14,8,5,17,30,71,Uncertain
194,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
195,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
196,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
197,2,18,0,0,15,48,15,7,0,8,18,26,64,Uncertain
198,2,19,0,0,6,24,4,8,0,4,11,15,32,Uncertain
199,0,4,0,0,0,14,10,2,0,0,7,7,15,Uncertain
200,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
201,0,0,0,0,0,4,4,0,0,0,2,2,5,Trusted
202,0,4,0,0,3,22,10,3,0,2,7,9,26,Uncertain
203,2,2,0,0,3,11,2,2,0,2,4,6,15,Uncertain
204,0,2,0,0,0,10,8,2,0,0,4,4,11,Uncertain
205,4,12,0,0,8,20,12,8,0,4,15,19,29,Uncertain
206,0,0,0,0,0,3,3,0,0,0,2,2,4,Trusted
207,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
208,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
209,4,16,0,0,10,23,12,9,0,5,14,19,34,Uncertain
210,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
211,0,1,0,0,0,8,7,1,0,0,4,4,9,Uncertain
212,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
213,2,18,0,1,13,24,9,12,3,4,17,24,39,Trusted
214,2,12,0,0,5,22,13,6,0,3,12,15,28,Trusted
215,0,0,0,0,0,12,12,0,0,0,6,6,13,Trusted
216,2,16,0,2,17,22,5,11,6,2,14,22,42,Uncertain
217,2,22,0,0,9,25,7,10,0,6,11,17,35,Trusted
218,0,4,0,0,0,25,21,3,0,0,12,12,26,Trusted
219,0,0,0,0,0,4,4,0,0,0,3,3,5,Trusted
220,2,9,0,0,5,11,5,6,0,3,8,11,17,Uncertain
221,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
222,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
223,2,17,0,0,8,20,7,10,0,6,12,18,29,Trusted
224,0,3,0,0,0,19,16,2,0,0,11,11,20,Trusted
225,0,0,0,0,0,3,3,0,0,0,2,2,4,Trusted
226,2,17,0,0,9,21,9,10,0,6,15,21,31,Trusted
227,0,3,0,0,0,19,16,3,0,0,12,12,20,Trusted
228,0,0,0,0,0,3,3,0,0,0,3,3,4,Trusted
229,4,20,1,1,24,30,8,12,3,3,19,28,57,Uncertain
230,2,19,0,1,12,28,8,11,3,3,12,18,42,Uncertain
231,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
232,2,15,0,0,5,25,13,6,0,3,10,13,31,Trusted
233,0,0,0,0,0,15,15,0,0,0,6,6,16,Trusted
234,0,0,0,0,0,3,3,0,0,0,2,2,4,Trusted
235,2,6,0,0,6,10,5,3,0,3,8,11,17,Uncertain
236,0,5,0,0,0,9,4,5,0,0,6,6,10,Uncertain
237,0,0,0,0,0,5,5,0,0,0,5,5,6,Trusted
238,4,22,0,1,15,28,12,11,1,6,17,24,45,Uncertain
239,0,5,0,0,3,16,11,3,0,1,8,9,20,Uncertain
240,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
241,0,3,0,0,0,4,1,2,0,0,3,3,6,Uncertain
242,2,1,0,0,2,5,2,1,0,1,3,4,8,Uncertain
243,0,0,0,0,0,3,3,0,0,0,2,2,4,Trusted
244,2,37,0,3,30,34,3,16,6,8,19,33,68,Uncertain
245,2,3,0,0,4,9,2,3,0,3,5,8,14,Uncertain
246,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
247,0,16,0,0,12,50,26,10,0,6,25,31,63,Uncertain
248,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
249,2,19,0,0,5,21,4,11,0,3,13,16,29,Uncertain
250,0,1,0,0,0,11,10,1,0,0,6,6,12,Uncertain
251,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
252,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
253,2,0,0,0,1,3,2,0,0,0,2,2,5,Uncertain
254,4,15,0,0,9,20,10,10,0,5,15,20,30,Trusted
255,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
256,0,0,0,0,0,6,6,0,0,0,4,4,7,Trusted
257,6,12,0,0,10,21,13,8,0,4,16,20,32,Uncertain
258,0,0,0,0,0,3,3,0,0,0,2,2,4,Trusted
259,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
260,6,29,0,0,17,33,13,16,0,9,18,27,51,Uncertain
261,0,1,0,0,0,8,7,1,0,0,4,4,9,Uncertain
262,0,1,0,0,0,14,13,1,0,0,8,8,15,Trusted
263,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
264,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
265,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
266,2,29,0,3,27,33,9,14,6,6,22,34,64,Uncertain
267,0,14,0,0,12,40,18,8,0,6,21,27,53,Uncertain
268,4,19,0,0,10,19,5,11,0,6,11,17,31,Uncertain
269,0,1,0,0,0,11,10,1,0,0,6,6,12,Uncertain
270,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
271,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
272,2,0,0,0,1,3,2,0,0,0,2,2,5,Uncertain
273,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
274,4,31,3,3,45,47,8,17,3,3,26,40,100,Uncertain
275,2,16,0,0,6,15,2,5,0,3,5,8,22,Uncertain
276,0,1,0,0,0,17,16,1,0,0,6,6,18,Trusted
277,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
278,2,22,1,3,27,48,7,11,8,3,20,31,80,Trusted
279,2,37,0,3,18,49,10,15,3,6,17,26,71,Uncertain
280,0,3,0,0,1,7,4,2,0,0,3,3,9,Uncertain
281,2,0,0,0,1,3,2,0,0,0,2,2,5,Uncertain
282,2,1,0,0,2,6,2,1,0,1,3,4,9,Uncertain
283,0,0,0,0,0,4,4,0,0,0,2,2,5,Trusted
284,2,4,0,0,8,42,27,2,0,3,15,18,51,Trusted
285,4,34,0,3,30,37,6,14,5,7,20,32,71,Uncertain
286,2,0,0,0,2,2,2,0,0,0,2,2,5,Uncertain
287,2,0,0,0,1,3,2,0,0,0,2,2,5,Uncertain
288,0,12,0,0,11,35,16,7,0,5,16,21,47,Uncertain
289,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
290,2,16,0,0,5,16,2,9,0,2,10,12,23,Uncertain
291,0,1,0,0,0,8,7,1,0,0,4,4,9,Uncertain
292,0,4,0,0,2,12,10,2,0,0,7,7,15,Uncertain
293,2,3,0,0,4,9,2,3,0,3,5,8,14,Uncertain
294,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
295,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
296,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
297,2,9,0,0,5,17,11,6,0,3,12,15,23,Uncertain
298,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
299,2,3,0,0,3,13,11,2,0,1,12,13,17,Trusted
300,0,0,0,0,0,3,3,0,0,0,2,2,4,Trusted
301,6,32,0,1,20,35,11,19,1,9,23,33,57,Uncertain
302,0,3,0,0,4,16,7,2,0,3,8,11,21,Uncertain
303,2,3,0,0,4,9,2,3,0,3,5,8,14,Uncertain
304,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
305,0,0,0,0,0,3,3,0,0,0,2,2,4,Trusted
306,2,4,0,0,3,13,10,2,0,1,8,9,17,Trusted
307,0,0,0,0,0,4,4,0,0,0,2,2,5,Trusted
308,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
309,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
310,2,12,0,0,8,12,3,3,0,3,5,8,21,Uncertain
311,0,3,0,0,0,15,12,3,0,0,6,6,16,Uncertain
312,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
313,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
314,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
315,4,32,0,1,22,33,8,17,3,9,20,32,57,Uncertain
316,0,8,0,0,5,33,21,6,0,3,18,21,39,Uncertain
317,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
318,2,9,0,0,5,10,4,6,0,3,7,10,16,Uncertain
319,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
320,0,0,0,0,0,6,6,0,0,0,4,4,7,Trusted
321,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
322,6,53,1,7,46,53,9,24,4,9,35,51,110,Uncertain
323,0,3,0,0,2,11,5,2,0,1,4,5,14,Uncertain
324,0,3,0,0,1,8,5,2,0,0,3,3,10,Uncertain
325,2,1,0,0,2,6,2,1,0,1,3,4,9,Uncertain
326,0,0,0,0,0,4,4,0,0,0,2,2,5,Trusted
327,2,8,0,1,4,14,9,3,0,1,7,8,20,Trusted
328,2,0,0,0,1,3,2,0,0,0,2,2,5,Uncertain
329,2,0,0,0,2,6,6,0,0,0,3,3,9,Trusted
330,2,19,1,1,21,38,12,9,2,3,21,27,63,Uncertain
331,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
332,2,5,0,0,5,10,4,1,0,1,5,6,16,Uncertain
333,2,1,0,0,2,15,14,1,0,0,9,9,18,Uncertain
334,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
335,4,11,1,1,15,16,5,6,2,1,12,16,35,Uncertain
336,2,13,1,1,8,15,4,6,1,2,8,11,26,Uncertain
337,4,33,2,3,38,34,8,18,2,5,25,37,79,Uncertain
338,0,0,0,0,0,15,15,0,0,0,6,6,16,Trusted
339,2,4,1,1,18,22,8,2,1,1,13,18,43,Uncertain
340,2,8,0,1,6,17,10,4,1,1,10,12,25,Trusted
341,2,11,1,1,16,14,2,7,1,1,9,14,33,Uncertain
342,2,10,0,1,10,17,4,6,3,1,8,12,29,Uncertain
343,2,15,0,0,5,17,5,6,0,3,6,9,23,Uncertain
344,2,5,0,0,3,9,5,2,0,1,4,5,13,Uncertain
345,0,0,0,0,0,5,5,0,0,0,2,2,6,Trusted
346,2,18,0,1,11,20,7,10,1,5,13,19,33,Uncertain
347,0,4,0,0,3,20,16,2,0,1,12,13,24,Trusted
348,2,3,0,0,3,4,2,2,0,1,3,4,8,Uncertain
349,0,0,0,0,0,3,3,0,0,0,2,2,4,Trusted
350,4,15,0,1,12,21,10,8,1,4,16,21,35,Trusted
351,0,4,0,0,3,8,4,2,0,1,4,5,12,Uncertain
352,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
353,2,3,0,0,3,4,2,2,0,1,3,4,8,Uncertain
354,0,0,0,0,0,3,3,0,0,0,2,2,4,Trusted
355,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
356,4,34,1,3,35,39,10,17,2,5,25,36,80,Uncertain
357,0,0,0,0,0,4,4,0,0,0,2,2,5,Trusted
358,4,12,1,1,18,25,8,7,1,1,13,18,46,Uncertain
359,2,6,0,0,3,17,12,4,0,1,8,9,21,Uncertain
360,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
361,2,11,0,1,10,22,5,6,3,1,8,12,34,Uncertain
362,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
363,2,18,0,0,5,21,6,6,0,3,6,9,27,Trusted
364,0,0,0,0,0,18,18,0,0,0,6,6,19,Trusted
365,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
366,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
367,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
368,4,39,1,4,39,37,6,20,6,6,26,41,82,Uncertain
369,0,0,0,0,0,4,4,0,0,0,2,2,5,Trusted
370,0,0,0,0,0,12,12,0,0,0,6,6,13,Trusted
371,2,9,0,0,6,20,12,5,0,2,10,12,27,Uncertain
372,2,8,0,1,15,29,11,4,3,4,16,23,46,Uncertain
373,0,3,0,0,0,4,1,2,0,0,3,3,6,Uncertain
374,2,15,0,1,12,15,2,10,3,3,9,15,29,Uncertain
375,2,12,0,0,5,19,10,6,0,3,10,13,25,Trusted
376,2,1,0,0,2,5,2,1,0,1,3,4,8,Uncertain
377,0,0,0,0,0,3,3,0,0,0,2,2,4,Trusted
378,0,0,0,0,0,4,4,0,0,0,2,2,5,Trusted
379,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
380,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
381,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
382,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
383,2,9,0,0,5,17,11,6,0,3,14,17,23,Trusted
384,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
385,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
386,2,17,0,2,23,19,3,9,3,3,10,19,45,Uncertain
387,0,10,0,0,13,26,8,6,3,3,11,17,40,Uncertain
388,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
389,4,21,0,0,13,17,5,9,3,3,8,14,31,Uncertain
390,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
391,0,0,0,0,0,12,12,0,0,0,3,3,13,Trusted
392,2,37,1,5,39,35,3,23,7,8,24,42,81,Uncertain
393,2,24,0,1,23,51,17,13,3,7,30,40,76,Trusted
394,6,22,0,1,19,28,10,14,3,5,18,26,49,Uncertain
395,2,13,0,0,5,18,7,5,0,3,8,11,24,Trusted
396,0,0,0,0,0,6,6,0,0,0,4,4,7,Trusted
397,0,0,0,0,0,3,3,0,0,0,2,2,4,Trusted
398,0,0,0,0,0,8,8,0,0,0,4,4,9,Trusted
399,0,1,0,0,0,14,13,1,0,0,6,6,15,Trusted
