,"('act', '{<QualifiedName: pgo:BallCollection>}')","('act', '{<QualifiedName: pgo:PokemonCapture>}')","('act', '{<QualifiedName: pgo:PokemonDispose>}')","('ent', '{<QualifiedName: pgo:Player>}')","('ent', '{<QualifiedName: pgo:PokemonNormal>}')","('ent', '{<QualifiedName: pgo:PokemonWeak>}')","('ent', '{<QualifiedName: pgo:Pokestop>}')","[('der', 'der'), ('der', 'der'), (('ent', '{<QualifiedName: pgo:Pokestop>}'), ('ent', '{<QualifiedName: pgo:Player>}'))]","[('gen', 'der'), ('usd', 'der'), (('ent', '{<QualifiedName: pgo:PokemonNormal>}'), ('ent', '{<QualifiedName: pgo:Pokestop>}'))]","[('gen', 'der'), ('usd', 'der'), (('ent', '{<QualifiedName: pgo:PokemonWeak>}'), ('ent', '{<QualifiedName: pgo:PokemonWeak>}'))]","[('gen', 'der'), ('usd', 'der'), (('ent', '{<QualifiedName: pgo:PokemonWeak>}'), ('ent', '{<QualifiedName: pgo:Pokestop>}'))]","[('gen', 'der'), ('usd', 'der'), (('ent', '{<QualifiedName: pgo:Pokestop>}'), ('ent', '{<QualifiedName: pgo:PokemonNormal>}'))]","[('gen', 'der'), ('usd', 'der'), (('ent', '{<QualifiedName: pgo:Pokestop>}'), ('ent', '{<QualifiedName: pgo:PokemonWeak>}'))]","[('gen', 'gen'), ('usd', 'usd'), (('ent', '{<QualifiedName: pgo:Pokestop>}'), ('ent', '{<QualifiedName: pgo:Player>}'))]","[('usd', 'usd'), ('der', 'der'), (('ent', '{<QualifiedName: pgo:PokemonWeak>}'), ('ent', '{<QualifiedName: pgo:Pokestop>}'))]","[('usd', 'usd'), ('der', 'der'), (('ent', '{<QualifiedName: pgo:Pokestop>}'), ('ent', '{<QualifiedName: pgo:Player>}'))]","[('usd', 'usd'), ('der', 'der'), (('ent', '{<QualifiedName: pgo:Pokestop>}'), ('ent', '{<QualifiedName: pgo:PokemonWeak>}'))]","[['der', 'der', ('ent', '{<QualifiedName: pgo:PokemonWeak>}')]]","[['der', 'der', ('ent', '{<QualifiedName: pgo:Pokestop>}')]]","[['gen', 'usd', ('ent', '{<QualifiedName: pgo:PokemonWeak>}')]]","[['gen', 'usd', ('ent', '{<QualifiedName: pgo:Pokestop>}')]]","[['gen', ('act', '{<QualifiedName: pgo:BallCollection>}')], ['der', ('ent', '{<QualifiedName: pgo:Player>}')], ['der', ('ent', '{<QualifiedName: pgo:Pokestop>}')]]","[['gen', ('act', '{<QualifiedName: pgo:BallCollection>}')], ['der', ('ent', '{<QualifiedName: pgo:Pokestop>}')], ['der', ('ent', '{<QualifiedName: pgo:Player>}')]]","[['gen', ('act', '{<QualifiedName: pgo:PokemonCapture>}')], ['der', ('ent', '{<QualifiedName: pgo:Player>}')], ['der', ('ent', '{<QualifiedName: pgo:PokemonNormal>}')]]","[['gen', ('act', '{<QualifiedName: pgo:PokemonCapture>}')], ['der', ('ent', '{<QualifiedName: pgo:Player>}')], ['der', ('ent', '{<QualifiedName: pgo:PokemonWeak>}')]]","[['gen', ('act', '{<QualifiedName: pgo:PokemonCapture>}')], ['der', ('ent', '{<QualifiedName: pgo:PokemonNormal>}')], ['der', ('ent', '{<QualifiedName: pgo:Player>}')]]","[['gen', ('act', '{<QualifiedName: pgo:PokemonCapture>}')], ['der', ('ent', '{<QualifiedName: pgo:PokemonWeak>}')], ['der', ('ent', '{<QualifiedName: pgo:Player>}')]]","[['gen', ('act', '{<QualifiedName: pgo:PokemonCapture>}')], ['inv', ('act', '{<QualifiedName: pgo:PokemonDispose>}')], ['der', ('ent', '{<QualifiedName: pgo:Player>}')], ['der', ('ent', '{<QualifiedName: pgo:PokemonWeak>}')]]","[['gen', ('act', '{<QualifiedName: pgo:PokemonCapture>}')], ['inv', ('act', '{<QualifiedName: pgo:PokemonDispose>}')], ['der', ('ent', '{<QualifiedName: pgo:PokemonWeak>}')], ['der', ('ent', '{<QualifiedName: pgo:Player>}')]]","[['gen', ('act', '{<QualifiedName: pgo:PokemonDispose>}')], ['der', ('ent', '{<QualifiedName: pgo:Player>}')]]","[['usd', 'der', ('ent', '{<QualifiedName: pgo:PokemonNormal>}')]]","[['usd', 'der', ('ent', '{<QualifiedName: pgo:PokemonWeak>}')]]","[['usd', 'der', ('ent', '{<QualifiedName: pgo:Pokestop>}')]]","[['usd', ('ent', '{<QualifiedName: pgo:Player>}')], ['usd', ('ent', '{<QualifiedName: pgo:PokemonNormal>}')]]","[['usd', ('ent', '{<QualifiedName: pgo:Player>}')], ['usd', ('ent', '{<QualifiedName: pgo:PokemonWeak>}')]]","[['usd', ('ent', '{<QualifiedName: pgo:Player>}')], ['usd', ('ent', '{<QualifiedName: pgo:Pokestop>}')]]","[['usd', ('ent', '{<QualifiedName: pgo:PokemonNormal>}')], ['usd', ('ent', '{<QualifiedName: pgo:Player>}')]]","[['usd', ('ent', '{<QualifiedName: pgo:PokemonWeak>}')], ['usd', ('ent', '{<QualifiedName: pgo:Player>}')]]","[['usd', ('ent', '{<QualifiedName: pgo:Pokestop>}')], ['usd', ('ent', '{<QualifiedName: pgo:Player>}')]]",label
30,9,7,3,20,10,0,13,0,2,0,0,2,0,0,0,1,0,0,6,0,2,4,14,4,0,3,0,0,0,3,5,0,4,6,0,4,2,0,5,Instinct
31,13,11,0,25,8,10,19,0,0,2,4,4,4,2,0,0,0,0,4,2,0,9,17,3,4,5,6,0,0,0,4,5,5,2,3,6,2,2,7,Valor
32,14,14,9,38,4,14,21,0,0,4,2,2,0,2,2,1,0,4,10,6,2,13,15,1,1,1,7,2,4,9,2,8,5,2,7,9,2,6,5,Instinct
33,7,6,1,15,4,2,11,2,2,0,0,2,0,0,0,0,0,0,2,2,0,4,10,1,2,2,0,0,0,1,2,0,3,1,1,3,2,0,4,Instinct
34,7,9,4,21,8,8,12,2,2,0,2,4,2,2,0,1,0,2,3,4,2,4,10,3,1,2,7,0,0,4,4,1,3,5,3,2,2,1,5,Mystic
35,6,6,1,14,2,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,8,2,0,0,0,0,0,1,0,0,4,1,0,3,0,0,3,Instinct
36,7,5,0,13,6,4,11,0,2,0,0,6,0,0,0,0,0,0,2,2,0,6,8,2,2,4,2,0,0,0,3,2,2,2,0,4,1,2,3,Valor
37,15,10,6,32,6,10,23,2,0,0,2,2,6,2,1,0,1,2,6,6,4,11,19,2,1,3,6,2,1,6,2,4,5,2,5,7,2,3,8,Mystic
38,8,4,0,13,4,2,13,0,2,0,0,0,2,2,0,1,0,0,2,0,2,6,10,2,1,2,1,0,0,0,1,1,3,2,0,4,0,1,4,Valor
39,5,4,0,10,2,4,10,0,2,0,4,2,4,2,0,1,0,0,0,0,0,3,7,0,3,2,1,0,0,0,1,2,3,1,1,4,0,1,1,Instinct
40,7,6,1,15,2,6,13,0,0,0,4,2,2,0,0,0,0,1,2,0,2,4,10,1,4,1,1,0,1,1,1,3,4,0,3,3,1,1,4,Instinct
41,13,8,0,22,2,14,21,2,2,4,4,0,8,0,0,1,0,0,4,4,2,8,18,0,6,2,8,0,0,0,1,6,7,0,5,7,1,2,6,Valor
42,6,7,2,16,6,2,11,0,0,0,0,2,2,0,0,1,1,0,3,0,0,3,9,3,0,2,1,0,1,2,2,1,3,3,1,2,1,1,4,Instinct
43,9,10,5,25,4,10,15,0,2,4,0,2,2,2,0,1,0,2,5,4,4,6,12,0,3,3,4,0,3,5,1,5,4,1,3,5,2,5,4,Mystic
44,7,5,0,13,0,8,11,0,0,2,2,0,4,0,0,0,0,0,2,2,2,6,8,0,4,0,4,0,0,0,0,4,2,0,1,4,0,3,3,Instinct
45,8,7,3,19,0,12,13,2,0,4,4,0,4,0,0,1,0,2,4,4,4,3,13,0,4,0,5,0,3,3,0,6,4,0,6,3,0,3,5,Instinct
46,6,4,0,11,6,0,11,0,4,0,0,4,0,2,0,1,0,0,0,0,0,3,9,2,0,4,0,0,0,0,2,0,3,1,0,4,2,0,2,Instinct
47,6,6,0,13,2,8,12,0,2,6,2,2,2,0,0,0,0,0,0,0,0,4,8,2,3,0,5,0,0,0,1,4,4,1,2,3,0,2,3,Valor
48,5,6,2,14,4,4,9,2,0,0,0,2,4,0,1,0,0,0,1,2,0,2,8,2,1,2,1,1,1,2,2,2,2,0,2,3,2,2,2,Instinct
49,6,7,2,16,2,8,11,2,2,2,0,0,6,0,0,1,0,0,0,4,2,3,9,2,1,0,5,1,1,2,0,4,3,1,3,2,0,3,4,Instinct
50,6,7,2,16,6,4,10,2,0,0,0,2,0,0,0,1,0,1,3,4,2,3,9,0,2,5,1,1,0,2,3,1,2,2,2,2,2,1,4,Instinct
51,6,3,0,10,2,0,11,2,2,0,0,0,0,0,0,1,0,0,0,0,2,3,9,1,0,1,0,0,0,0,1,0,4,0,0,5,1,0,1,Valor
52,10,7,0,18,0,12,13,2,0,6,2,0,4,0,0,1,1,0,2,2,0,6,14,0,5,0,7,0,0,0,0,5,2,0,4,5,0,2,5,Valor
53,10,6,1,18,4,4,15,0,0,0,2,2,2,0,0,0,0,1,4,0,2,5,15,3,0,1,3,0,1,1,2,2,3,1,1,5,1,2,5,Instinct
54,9,4,0,14,2,4,14,2,2,0,2,2,2,2,0,1,0,0,4,0,4,6,12,1,2,1,2,0,0,0,1,1,4,0,2,4,1,0,5,Instinct
55,7,9,4,21,6,6,12,2,0,0,2,2,4,2,0,1,2,0,2,2,0,4,10,2,2,3,1,1,2,4,3,3,2,2,6,2,2,0,5,Instinct
56,14,8,0,23,8,6,20,0,2,0,4,4,2,0,1,1,0,0,4,2,2,9,19,2,3,6,3,0,0,0,3,2,5,2,3,7,2,0,7,Valor
57,7,6,2,16,6,6,11,0,0,0,2,2,4,0,0,0,0,1,4,4,0,4,10,1,2,3,4,0,0,2,3,2,3,2,2,3,3,1,4,Mystic
58,8,4,0,13,4,4,11,2,0,2,2,2,2,2,0,1,0,0,2,0,0,6,10,1,3,3,1,0,0,0,2,2,2,1,1,4,1,1,4,Valor
59,2,4,0,7,0,8,4,0,0,4,2,0,2,0,0,1,0,0,0,0,0,2,2,0,3,0,5,0,0,0,0,3,1,0,2,2,0,2,0,Valor
60,5,7,0,13,0,8,9,0,0,2,2,0,2,0,0,1,0,0,2,2,0,3,7,0,4,0,4,0,0,0,0,3,3,0,3,2,0,1,3,Valor
61,6,6,0,13,4,4,10,2,0,0,2,0,2,0,0,0,0,0,2,0,2,4,8,3,2,1,2,0,0,0,2,1,3,1,2,3,1,0,3,Valor
62,6,4,0,11,2,4,11,0,0,0,2,2,0,2,0,1,0,0,2,2,0,3,9,0,2,2,2,0,0,0,1,2,3,1,0,4,0,2,2,Mystic
63,13,9,0,23,8,6,17,2,2,2,0,2,2,2,0,1,0,2,2,2,0,9,17,3,2,5,4,0,0,0,3,3,3,2,2,6,2,1,7,Valor
64,3,3,0,7,2,4,6,0,0,0,2,0,4,0,0,1,0,0,0,0,0,2,4,1,2,1,2,0,0,0,1,2,1,0,1,3,1,1,0,Instinct
65,10,8,0,19,6,6,16,2,2,0,2,2,4,0,0,1,0,0,2,0,0,6,14,3,0,3,6,0,0,0,3,3,4,1,2,5,2,1,5,Valor
66,8,9,4,22,4,12,13,0,2,2,0,2,2,2,0,1,2,2,3,8,4,6,10,1,3,3,5,0,4,4,1,4,3,1,7,3,1,3,5,Instinct
67,9,5,0,15,8,2,14,0,2,0,2,2,2,0,0,0,0,0,4,0,4,6,12,3,0,5,2,0,0,0,3,1,4,2,0,5,2,1,4,Valor
68,4,5,0,10,2,4,8,0,0,0,2,0,4,0,0,0,0,0,0,0,0,3,5,1,1,1,3,0,0,0,1,2,2,0,0,4,1,2,0,Instinct
69,3,2,0,6,0,2,6,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,1,1,0,1,2,0,0,1,Valor
70,7,6,2,16,6,4,11,0,2,0,2,2,0,0,0,0,0,1,2,2,0,4,10,2,1,4,1,1,1,2,2,2,4,1,3,3,2,1,4,Instinct
71,8,9,0,18,8,8,14,2,2,2,4,4,2,2,0,1,0,0,2,0,0,6,10,3,3,5,5,0,0,0,3,4,5,3,2,3,1,2,5,Valor
72,7,3,0,11,6,0,10,2,2,0,0,4,0,0,0,1,0,0,0,0,0,3,11,4,0,2,0,0,0,0,3,0,1,1,0,5,2,0,2,Valor
73,8,11,6,26,6,10,13,0,0,0,2,4,2,2,2,0,0,2,2,4,0,5,11,1,2,4,4,3,1,6,3,5,2,1,4,5,3,5,3,Mystic
74,10,8,3,22,6,8,17,0,2,0,4,4,4,0,1,1,0,1,4,4,2,6,14,0,4,4,3,1,0,3,3,3,4,3,3,5,2,2,5,Mystic
75,12,9,4,26,6,4,20,0,2,0,0,6,2,2,1,1,0,0,6,2,2,8,16,1,0,4,3,0,1,4,3,1,5,1,1,6,3,2,6,Mystic
76,5,4,0,10,0,8,9,0,0,2,2,0,6,2,0,1,0,0,2,2,0,3,7,0,4,0,4,0,0,0,0,4,2,0,2,4,0,2,1,Valor
77,4,5,0,10,6,4,7,0,0,0,2,2,2,0,0,0,0,0,2,0,0,3,5,3,1,3,3,0,0,0,3,1,2,2,0,4,1,2,0,Instinct
78,10,12,7,30,8,10,14,0,2,0,2,2,2,2,1,1,0,4,1,4,2,6,14,1,2,5,5,1,2,7,4,5,2,3,4,6,3,4,4,Mystic
79,7,5,0,13,6,0,13,0,4,0,0,4,0,0,0,0,0,0,0,0,2,6,8,4,0,2,0,0,0,0,3,0,4,1,0,4,2,0,3,Valor
80,7,8,4,20,4,8,13,2,4,2,0,2,2,0,0,1,1,2,1,6,2,3,11,0,2,3,4,2,0,4,1,2,3,1,5,2,2,1,5,Mystic
81,4,3,0,8,6,0,8,0,6,0,0,4,0,0,0,1,0,0,0,0,0,3,5,4,0,2,0,0,0,0,2,0,3,1,0,3,2,0,1,Mystic
82,5,6,1,13,6,6,9,0,2,2,0,2,2,0,0,0,0,0,2,4,0,2,8,3,3,3,2,0,1,1,2,2,3,1,2,3,2,2,2,Instinct
83,9,6,2,18,2,6,16,0,2,0,0,0,4,0,0,0,0,1,2,2,2,4,14,0,3,2,2,1,0,2,0,3,6,0,4,4,1,0,5,Mystic
84,9,9,5,24,8,8,15,0,0,0,2,4,6,2,1,1,1,0,6,2,0,6,12,3,2,4,2,1,3,5,4,6,3,3,4,4,2,4,5,Instinct
85,14,11,6,32,14,2,18,0,2,0,0,4,0,2,0,0,0,1,4,2,2,10,18,2,1,7,0,0,1,6,8,1,3,6,2,7,6,0,7,Instinct
86,8,7,0,16,0,8,13,2,0,2,4,0,2,0,0,1,0,0,0,0,2,3,13,0,3,0,5,0,0,0,0,3,4,0,2,3,0,2,5,Valor
87,5,6,2,14,4,4,9,2,0,0,2,2,2,0,0,0,0,0,0,2,2,2,8,3,0,1,3,1,0,2,1,2,2,1,1,3,1,2,2,Mystic
88,6,8,0,15,6,6,11,0,2,2,0,2,4,0,0,1,0,0,2,0,0,3,9,5,1,1,5,0,0,0,3,3,3,2,2,2,1,1,4,Valor
89,10,6,2,19,0,6,16,0,0,0,4,0,4,0,0,0,0,1,6,0,4,5,15,0,2,0,2,0,2,2,0,3,5,0,3,5,0,2,5,Instinct
90,8,7,3,19,6,6,12,0,2,2,0,0,0,0,0,1,0,3,2,4,2,3,13,4,0,2,3,0,3,3,1,3,2,2,4,3,1,2,5,Instinct
91,3,3,0,7,0,2,6,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,4,0,1,0,1,0,0,0,0,1,2,0,0,3,0,1,0,Valor
92,10,7,2,20,4,10,17,0,0,4,2,4,6,0,0,1,1,0,6,4,2,6,14,1,3,2,6,1,0,2,2,5,3,2,4,5,1,2,5,Mystic
93,7,8,3,19,6,8,11,0,4,0,2,2,2,0,0,1,1,3,0,4,0,3,11,1,3,5,3,2,0,3,1,3,3,2,5,2,1,1,5,Mystic
94,11,4,0,16,2,6,16,2,2,0,2,2,4,2,0,1,0,0,2,4,0,6,16,0,3,2,3,0,0,0,1,2,4,0,2,5,1,1,6,Mystic
95,5,2,0,8,2,0,9,0,0,0,0,2,0,2,0,0,0,0,2,0,2,4,6,1,0,1,0,0,0,0,1,0,2,0,0,3,1,0,2,Valor
96,6,7,2,16,6,6,10,0,6,2,0,0,2,0,0,1,0,1,0,2,2,3,9,2,1,3,4,1,0,2,1,2,3,2,2,2,2,2,4,Mystic
97,7,11,6,25,6,10,13,0,2,4,2,0,2,2,1,0,1,1,4,4,2,5,9,1,2,3,4,1,3,6,2,5,3,2,5,4,3,4,3,Instinct
98,9,12,7,29,10,4,14,2,2,0,0,4,0,2,0,1,0,2,5,2,0,5,13,2,0,4,2,0,2,7,5,2,3,4,1,6,5,3,3,Instinct
99,15,11,6,33,10,8,18,0,2,0,0,4,0,2,0,0,0,5,2,6,0,12,18,3,0,3,6,1,1,6,8,4,2,6,2,8,3,4,7,Mystic
100,8,8,4,21,6,8,14,0,2,2,0,0,4,0,0,1,1,1,3,4,2,4,12,1,3,4,3,2,0,4,1,4,3,3,4,3,1,2,5,Mystic
101,15,9,4,29,4,10,23,2,2,2,4,4,4,2,0,1,0,2,5,4,4,10,20,0,4,2,4,2,0,4,2,5,5,3,6,6,1,1,9,Mystic
102,2,1,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Valor
103,6,6,0,13,2,4,10,0,0,0,2,2,0,0,0,0,0,0,2,0,0,4,8,2,1,0,3,0,0,0,1,2,3,1,1,3,0,1,3,Valor
