,"[('der', 'gen'), ('der', 'usd'), ('ent', 'ent')]","[['der', 'der', 'ent']]","[['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['gen', 'act']]","[['der', 'ent']]","[['gen', 'usd', 'ent']]","[['usd', 'der', 'ent']]","[['usd', 'ent'], ['usd', 'ent'], ['usd', 'ent'], ['usd', 'ent']]","[['usd', 'ent'], ['usd', 'ent'], ['usd', 'ent']]","[['usd', 'ent'], ['usd', 'ent']]","[['usd', 'ent']]",act,ent,label
62,2,20,0,1,1,21,15,1,3,15,3,1,6,13,23,40,Trusted
63,2,19,0,0,1,19,15,1,3,16,0,5,5,14,24,37,Trusted
64,2,13,0,0,1,17,14,1,3,9,0,4,4,9,17,34,Trusted
65,2,18,0,0,2,16,13,1,3,14,0,4,4,13,21,33,Trusted
66,2,22,0,0,2,23,18,1,3,18,0,6,6,17,29,45,Trusted
67,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
68,2,17,1,1,1,32,16,1,3,12,3,2,2,15,25,53,Trusted
69,2,10,0,0,0,7,8,1,3,9,0,0,5,7,12,17,Trusted
70,2,19,0,0,4,39,27,1,3,12,0,13,2,19,34,72,Trusted
71,2,15,0,1,4,42,28,1,3,11,3,9,3,18,33,77,Trusted
72,2,20,0,0,2,17,14,1,3,15,0,4,5,13,22,35,Trusted
73,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
74,2,21,0,0,2,20,16,1,3,14,0,5,5,12,22,40,Trusted
75,2,19,0,1,1,25,16,1,3,16,3,4,4,16,27,45,Trusted
76,2,15,0,1,2,27,16,1,3,12,5,3,2,15,25,48,Trusted
77,2,10,0,0,1,11,9,1,3,8,0,3,2,9,14,23,Trusted
78,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
79,2,16,0,0,1,19,13,1,3,13,0,6,3,12,21,35,Trusted
80,2,16,0,0,1,19,15,1,3,14,0,5,5,14,24,37,Trusted
81,2,24,1,1,2,37,20,1,3,17,3,3,3,19,31,63,Trusted
82,2,8,0,0,1,10,10,1,3,6,0,1,4,9,14,23,Trusted
83,2,22,0,0,3,26,20,1,3,15,0,7,5,15,27,51,Trusted
84,2,13,0,0,4,40,28,1,3,9,0,13,2,21,36,74,Trusted
85,2,19,0,0,2,18,14,1,3,15,0,5,4,14,23,36,Trusted
86,2,23,0,0,3,18,15,1,3,16,0,4,5,14,23,38,Trusted
87,2,28,0,0,3,30,22,1,3,18,0,9,5,16,30,57,Trusted
88,2,16,0,0,4,37,27,1,3,12,0,11,5,21,37,70,Trusted
89,2,35,2,4,4,61,32,1,3,20,3,3,3,26,43,106,Trusted
90,2,20,0,0,6,40,29,1,3,11,0,12,2,21,35,77,Trusted
91,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
92,2,16,0,0,1,14,12,1,3,12,0,3,5,10,18,29,Trusted
93,2,14,0,0,1,10,10,1,3,12,0,1,5,10,16,23,Trusted
94,2,30,0,1,4,33,23,1,3,21,1,9,4,22,36,63,Trusted
95,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
96,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
97,2,8,0,0,1,13,11,1,3,5,0,3,1,7,11,27,Trusted
98,2,21,0,0,3,34,24,1,3,15,0,11,4,20,35,63,Trusted
99,2,35,1,6,7,59,40,1,3,20,5,9,4,35,54,116,Trusted
100,2,22,2,3,3,48,27,1,3,14,2,6,3,25,40,85,Trusted
101,2,14,0,0,2,20,15,1,3,11,0,6,3,13,22,39,Trusted
102,2,18,0,0,3,20,16,1,3,14,0,5,4,15,24,41,Trusted
103,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
104,2,30,1,3,2,50,27,1,3,20,2,5,4,24,39,86,Trusted
105,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
106,0,0,0,0,0,0,6,1,6,0,0,0,0,6,6,8,Uncertain
107,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
108,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
109,2,20,0,3,4,49,30,1,3,14,5,10,2,27,44,88,Trusted
110,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
111,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
112,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
113,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
114,2,16,0,0,1,14,12,1,3,14,0,3,5,12,20,29,Trusted
115,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
116,2,11,0,0,3,31,15,1,3,7,0,5,2,12,22,51,Trusted
117,2,13,0,2,5,48,30,1,3,9,5,10,4,26,45,87,Trusted
118,2,26,0,0,2,33,23,1,3,20,0,11,4,19,34,60,Trusted
119,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
120,2,27,3,1,1,62,26,1,3,18,2,2,2,25,40,98,Trusted
121,2,27,0,0,3,36,25,1,3,19,1,10,5,19,35,66,Trusted
122,2,27,2,2,3,63,31,1,3,15,3,3,2,26,40,108,Trusted
123,2,24,0,0,2,19,16,1,3,19,0,4,7,15,26,39,Trusted
124,2,10,0,0,1,11,9,1,3,8,0,3,2,9,14,23,Trusted
125,2,14,0,0,2,23,18,1,3,11,0,6,5,15,26,45,Trusted
126,2,14,0,0,1,13,11,1,3,12,0,3,4,11,18,27,Trusted
127,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
128,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
129,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
130,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
131,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
132,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
133,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
134,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
135,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
136,2,9,0,0,1,15,13,1,5,6,0,4,1,10,15,31,Trusted
137,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
138,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
139,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
140,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
141,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
142,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
143,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
144,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
145,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
146,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
147,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
148,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
149,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
150,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
151,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
152,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
153,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
154,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
155,2,12,0,1,1,17,11,1,3,8,3,1,2,10,16,32,Trusted
156,2,7,0,1,1,7,7,1,3,4,0,1,1,7,9,18,Trusted
157,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
158,2,5,0,0,1,4,5,1,3,3,0,0,1,5,6,12,Trusted
159,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
160,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
161,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
162,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
163,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
164,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
165,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
166,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
167,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
168,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
169,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
170,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
171,2,9,0,0,1,6,7,1,3,7,0,0,3,7,10,16,Trusted
172,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
173,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
174,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
175,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
176,2,18,0,0,2,16,13,1,3,13,0,4,4,12,20,33,Trusted
177,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
178,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
179,2,7,0,0,2,12,10,1,3,4,0,3,1,8,12,26,Trusted
180,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
181,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
182,0,0,0,0,0,0,4,1,4,0,0,0,0,4,4,6,Uncertain
183,2,10,0,0,0,7,8,1,3,10,0,0,5,8,13,17,Trusted
184,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
185,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
186,2,10,0,0,1,11,9,1,3,8,0,3,2,9,14,23,Trusted
187,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
188,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
189,2,26,0,0,3,21,17,1,3,20,0,5,6,17,28,43,Trusted
190,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
191,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
192,2,19,1,2,2,32,18,1,3,13,6,1,2,17,27,57,Trusted
193,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
194,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
195,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
196,0,0,0,0,0,0,4,1,4,0,0,0,0,4,4,6,Uncertain
197,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
198,0,0,0,0,0,0,4,1,4,0,0,0,0,4,4,6,Uncertain
199,2,13,0,1,1,19,12,1,3,10,3,2,2,11,18,35,Trusted
200,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
201,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
202,2,6,0,0,1,6,6,1,3,3,0,1,1,5,7,15,Trusted
203,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
204,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
205,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
206,2,14,0,0,1,13,11,1,3,11,0,3,4,10,17,27,Trusted
207,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
208,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
209,2,16,0,0,2,15,12,1,3,12,0,4,3,12,19,31,Trusted
210,2,6,0,0,1,6,6,1,3,4,0,1,1,6,8,15,Trusted
211,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
212,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
213,0,0,0,0,0,0,4,1,4,0,0,0,0,4,4,6,Uncertain
214,2,10,0,0,1,11,9,1,3,8,0,3,2,9,14,23,Trusted
215,2,14,0,0,1,13,11,1,3,12,0,3,4,11,18,27,Trusted
216,2,19,0,1,2,19,16,1,4,13,0,5,3,15,23,40,Trusted
217,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
218,2,6,0,0,1,6,6,1,3,3,0,1,1,5,7,15,Trusted
219,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
220,2,15,0,0,1,17,13,1,3,12,0,5,3,12,20,33,Trusted
221,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
222,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
223,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
224,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
225,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
226,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
227,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
228,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
229,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
230,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
231,2,15,0,0,2,13,11,1,3,10,0,3,3,10,16,28,Trusted
232,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
233,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
234,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
235,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
236,2,4,0,0,0,4,5,1,3,3,0,0,2,4,6,11,Trusted
237,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
238,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
239,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
240,2,6,0,0,1,6,6,1,3,3,0,1,1,5,7,15,Trusted
241,2,6,0,0,1,6,6,1,3,4,0,1,1,6,8,15,Trusted
242,2,10,0,0,1,14,12,1,3,7,0,3,2,8,13,29,Trusted
243,0,0,0,0,0,0,4,1,4,0,0,0,0,4,4,6,Uncertain
244,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
245,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
246,2,6,0,0,1,6,6,1,3,3,0,1,1,5,7,15,Trusted
247,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
248,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
249,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
250,2,6,0,0,1,6,6,1,3,3,0,1,1,5,7,15,Trusted
251,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
252,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
253,2,14,0,0,1,13,11,1,3,11,0,3,4,10,17,27,Trusted
254,0,0,0,0,0,0,4,1,4,0,0,0,0,4,4,6,Uncertain
255,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
256,2,6,0,0,1,6,6,1,3,3,0,1,1,5,7,15,Trusted
257,2,5,0,0,1,4,5,1,3,3,0,0,1,5,6,12,Trusted
258,2,6,0,0,1,6,6,1,3,4,0,1,1,6,8,15,Trusted
259,0,0,0,0,0,0,4,1,4,0,0,0,0,4,4,6,Uncertain
260,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
261,2,6,0,0,1,6,6,1,3,4,0,1,1,6,8,15,Trusted
262,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
263,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
264,2,10,0,0,1,11,9,1,3,8,0,3,2,9,14,23,Trusted
265,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
266,2,6,0,0,1,6,6,1,3,4,0,1,1,6,8,15,Trusted
267,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
268,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
269,2,6,0,0,1,6,6,1,3,4,0,1,1,6,8,15,Trusted
270,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
271,0,0,0,0,0,0,4,1,4,0,0,0,0,4,4,6,Uncertain
272,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
273,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
274,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
275,2,13,0,0,1,20,15,1,3,10,0,6,2,11,19,38,Trusted
276,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
277,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
278,2,6,0,0,1,6,6,1,3,3,0,1,1,5,7,15,Trusted
279,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
280,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
281,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
282,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
283,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
284,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
285,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
286,2,15,0,0,2,13,11,1,3,9,0,3,3,9,15,28,Trusted
287,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
288,2,7,0,0,1,7,7,1,3,3,0,1,1,5,7,17,Trusted
289,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
290,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
291,0,0,0,0,0,0,4,1,4,0,0,0,0,4,4,6,Uncertain
292,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
293,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
294,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
295,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
296,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
297,2,12,0,0,1,12,10,1,3,9,0,3,3,9,15,25,Trusted
298,2,6,0,0,1,6,6,1,3,4,0,1,1,6,8,15,Trusted
299,0,0,0,0,0,0,4,1,4,0,0,0,0,4,4,6,Uncertain
300,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
301,0,0,0,0,0,0,4,1,4,0,0,0,0,4,4,6,Uncertain
302,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
303,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
304,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
305,2,6,0,0,1,6,6,1,3,4,0,1,1,6,8,15,Trusted
306,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
307,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
308,2,11,0,1,1,18,13,1,5,8,3,2,1,13,19,35,Trusted
309,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
310,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
311,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
312,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
313,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
314,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
315,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
316,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
317,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
318,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
319,2,18,0,2,2,26,17,1,3,12,3,4,2,16,25,49,Trusted
320,0,0,0,0,0,0,4,1,4,0,0,0,0,4,4,6,Uncertain
321,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
322,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
323,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
324,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
325,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
326,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
327,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
328,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
329,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
330,2,20,1,1,2,29,16,1,3,14,2,1,3,16,25,51,Trusted
331,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
332,2,6,0,0,1,6,6,1,3,3,0,1,1,5,7,15,Trusted
333,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
334,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
