,"[('der', 'gen'), ('der', 'usd'), ('ent', 'ent')]","[['der', 'der', 'ent']]","[['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['gen', 'act']]","[['der', 'ent']]","[['usd', 'der', 'ent']]","[['usd', 'ent'], ['usd', 'ent'], ['usd', 'ent']]","[['usd', 'ent'], ['usd', 'ent']]","[['usd', 'ent']]",act,ent,label
37,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
38,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
39,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
40,45,21,4,64,38,2,37,24,4,30,59,110,Uncertain
41,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
42,64,40,3,67,29,2,45,3,3,26,45,107,Trusted
43,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
44,36,29,3,36,23,2,32,7,5,17,32,68,Uncertain
45,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
46,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
47,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
48,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
49,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
50,18,13,2,28,15,2,13,2,1,13,22,51,Uncertain
51,25,13,1,23,14,2,21,9,1,11,21,41,Trusted
52,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
53,60,28,2,40,46,2,46,7,16,23,47,92,Trusted
54,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
55,0,1,0,0,0,2,1,0,0,4,4,14,Trusted
56,55,25,2,41,35,2,31,6,1,18,32,84,Trusted
57,14,11,1,14,10,2,17,4,4,9,17,28,Trusted
58,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
59,18,4,1,15,47,2,7,1,9,13,23,66,Uncertain
60,54,15,3,20,48,2,24,5,6,14,25,78,Trusted
61,31,14,1,17,27,2,18,3,3,11,19,52,Trusted
62,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
63,25,11,1,21,15,2,20,6,5,10,21,40,Uncertain
64,28,26,1,30,22,2,42,2,15,22,42,57,Trusted
65,6,4,0,5,5,2,9,0,5,4,9,13,Trusted
66,21,12,1,20,13,2,21,7,4,11,22,37,Trusted
67,58,40,2,63,28,2,45,6,1,26,45,101,Trusted
68,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
69,12,4,1,5,11,2,6,0,4,3,7,20,Uncertain
70,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
71,49,22,2,45,22,2,31,5,2,16,31,74,Trusted
72,26,17,3,21,18,2,19,3,2,11,19,46,Trusted
73,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
74,13,9,1,12,9,2,13,3,3,7,13,25,Trusted
75,109,28,4,122,26,2,40,2,1,25,49,171,Trusted
76,34,19,2,23,28,2,28,6,7,15,28,56,Trusted
77,61,33,5,67,77,2,37,12,5,33,57,158,Trusted
78,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
79,53,21,2,27,45,2,28,4,6,16,29,78,Trusted
80,46,15,1,27,35,2,24,5,5,14,27,67,Uncertain
81,19,3,0,7,17,2,9,0,6,5,11,27,Uncertain
82,37,19,1,39,15,2,24,1,1,14,25,60,Trusted
83,88,33,2,45,71,2,42,2,11,24,43,125,Trusted
84,17,4,0,8,22,2,9,0,6,9,15,33,Trusted
85,29,15,2,32,18,2,22,5,3,15,28,57,Trusted
86,13,14,3,44,26,2,14,5,5,23,39,81,Trusted
87,8,2,3,41,47,2,5,7,6,24,42,96,Uncertain
88,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
89,26,25,3,28,19,2,31,9,5,17,31,54,Trusted
90,15,17,2,17,12,2,19,5,3,11,19,35,Trusted
91,18,4,0,4,21,2,8,0,4,6,10,32,Trusted
92,6,4,0,5,5,2,9,0,5,4,9,13,Trusted
93,21,9,2,21,15,2,16,6,4,11,21,41,Uncertain
94,48,36,3,49,26,2,38,5,3,22,38,87,Trusted
95,21,19,3,22,15,2,23,7,3,13,23,43,Trusted
96,40,20,2,39,17,2,26,2,1,14,26,63,Trusted
97,20,17,2,19,15,2,23,4,8,11,23,40,Uncertain
98,2,1,0,1,2,2,2,0,1,1,2,6,Trusted
99,27,5,0,7,25,2,10,0,5,5,10,35,Trusted
100,10,3,0,4,10,2,7,0,4,4,8,17,Uncertain
101,9,3,0,3,9,2,6,0,3,3,6,15,Trusted
102,49,29,3,37,37,2,34,7,3,20,35,82,Trusted
103,29,15,2,19,23,2,21,7,3,12,22,48,Trusted
104,31,9,1,12,29,2,15,3,5,9,17,45,Uncertain
105,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
106,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
107,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
108,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
109,17,6,0,8,15,2,13,0,7,6,13,26,Trusted
110,52,19,4,26,39,2,23,4,2,13,23,74,Trusted
111,25,9,1,10,24,2,14,2,5,8,15,38,Trusted
112,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
113,14,7,1,9,11,2,9,3,1,5,9,24,Trusted
114,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
115,2,1,0,1,2,2,2,0,1,1,2,6,Trusted
116,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
117,23,16,2,23,15,2,23,8,3,13,24,43,Trusted
118,15,7,1,14,12,2,13,2,8,8,18,30,Uncertain
119,61,36,4,61,31,2,44,4,4,27,48,104,Trusted
120,9,3,0,3,9,2,6,0,3,3,6,15,Trusted
121,46,34,4,47,26,2,39,7,2,23,40,84,Trusted
122,20,10,1,11,18,2,16,1,7,8,16,33,Trusted
123,14,9,1,13,10,2,15,3,5,8,16,27,Uncertain
124,20,16,2,21,16,2,23,5,7,14,26,42,Trusted
125,10,9,4,54,25,2,9,3,1,20,36,91,Uncertain
126,11,7,2,11,9,2,7,2,3,6,11,25,Uncertain
127,6,4,0,5,5,2,9,0,5,4,9,13,Trusted
128,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
129,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
130,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
131,50,23,7,63,41,2,30,13,6,31,55,118,Uncertain
132,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
133,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
134,26,19,4,47,27,2,21,10,2,24,41,84,Uncertain
135,24,8,1,20,14,2,15,6,3,9,18,38,Uncertain
136,8,2,0,3,8,2,5,0,3,3,6,14,Uncertain
137,48,24,5,40,27,2,38,7,8,20,38,75,Trusted
138,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
139,13,3,0,3,16,2,6,0,3,5,8,29,Uncertain
140,32,23,1,32,18,2,26,2,3,15,26,58,Trusted
141,12,4,0,5,12,2,9,0,5,5,10,20,Trusted
142,8,1,0,2,8,2,3,0,2,2,4,13,Uncertain
143,59,23,4,49,26,2,32,2,2,18,33,86,Trusted
144,24,15,1,16,21,2,20,1,8,11,20,42,Trusted
145,6,6,1,4,7,2,7,0,3,4,7,15,Trusted
146,24,14,3,30,31,2,15,4,4,16,28,70,Uncertain
147,42,26,3,29,35,2,32,8,6,18,32,71,Trusted
148,22,8,1,20,14,2,13,6,3,9,18,38,Uncertain
149,9,3,0,5,7,2,6,0,3,3,6,15,Trusted
150,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
151,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
152,39,15,1,26,27,2,22,6,2,12,23,58,Trusted
153,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
154,11,11,1,12,9,2,17,3,5,9,17,25,Trusted
155,26,14,3,32,21,2,21,11,4,17,32,59,Uncertain
156,44,33,2,48,24,2,34,5,4,21,36,82,Trusted
157,38,37,7,57,37,2,35,9,4,32,51,112,Trusted
158,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
159,29,13,4,32,22,2,18,10,4,15,29,61,Uncertain
160,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
161,52,35,3,61,28,2,32,3,2,23,37,104,Trusted
162,10,10,1,11,8,2,15,3,4,8,15,23,Trusted
163,21,7,1,17,13,2,13,4,4,8,16,34,Uncertain
164,10,7,2,14,11,2,11,3,5,9,17,30,Uncertain
165,16,9,2,18,12,2,15,6,3,10,19,35,Uncertain
166,10,4,3,29,12,2,5,5,2,9,19,47,Uncertain
167,26,6,4,38,25,2,12,13,2,18,33,70,Uncertain
168,14,3,1,11,8,2,5,3,1,4,8,23,Uncertain
169,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
170,28,13,6,38,26,2,16,12,2,18,32,73,Uncertain
171,27,7,4,40,25,2,11,9,3,15,30,73,Uncertain
172,17,11,1,17,10,2,18,6,3,9,18,31,Trusted
173,16,16,2,17,13,2,23,4,7,12,23,35,Trusted
174,31,9,4,37,24,2,15,13,2,16,31,68,Uncertain
175,20,12,5,46,27,2,16,10,4,23,42,83,Uncertain
176,19,16,2,21,15,2,23,6,6,14,26,41,Trusted
177,14,13,3,18,13,2,17,5,4,12,21,37,Trusted
178,31,17,3,28,19,2,25,9,5,13,27,53,Uncertain
179,32,24,2,35,17,2,28,3,3,16,28,59,Trusted
180,18,5,1,15,11,2,10,4,4,6,14,30,Uncertain
181,17,13,1,17,12,2,21,5,5,11,21,33,Trusted
182,15,11,2,11,13,2,12,2,3,7,12,29,Trusted
183,37,11,4,45,30,2,24,13,4,21,41,84,Uncertain
184,20,19,1,22,14,2,23,4,4,13,23,42,Trusted
185,21,17,1,23,13,2,24,4,4,13,24,41,Trusted
186,22,7,4,35,24,2,14,11,5,18,34,66,Uncertain
187,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
188,14,17,3,16,12,2,20,4,5,11,20,34,Trusted
189,15,13,1,17,9,2,16,2,2,9,16,31,Trusted
190,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
191,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
192,12,14,2,14,10,2,18,4,4,10,18,29,Trusted
193,24,12,3,24,17,2,19,7,5,12,24,47,Uncertain
194,22,21,4,41,24,2,23,6,4,23,38,76,Trusted
195,14,14,2,15,11,2,19,4,5,10,19,31,Trusted
196,23,23,3,46,24,2,23,6,3,22,37,81,Trusted
197,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
198,6,5,1,8,7,2,6,1,4,6,11,19,Uncertain
199,14,15,2,16,11,2,20,5,4,11,20,32,Trusted
200,16,9,1,15,10,2,15,5,3,8,16,29,Uncertain
201,16,8,1,14,9,2,13,5,2,6,13,27,Uncertain
202,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
203,28,18,1,30,13,2,22,2,2,12,22,49,Trusted
204,60,38,4,59,29,2,39,3,3,23,40,102,Trusted
205,9,9,1,10,7,2,13,3,3,7,13,21,Trusted
206,10,7,1,9,8,2,11,1,5,6,12,21,Uncertain
207,20,20,3,22,15,2,25,7,4,14,25,43,Trusted
208,33,18,2,31,20,2,29,11,4,16,31,56,Trusted
209,13,7,1,11,8,2,12,3,4,5,12,23,Uncertain
210,6,4,0,5,5,2,9,0,5,4,9,13,Trusted
211,75,32,4,67,32,2,46,4,3,25,47,111,Trusted
212,55,36,1,60,23,2,37,2,2,22,37,94,Trusted
213,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
214,13,9,1,12,9,2,15,3,5,7,15,25,Uncertain
215,43,26,4,40,22,2,33,4,5,18,33,72,Trusted
216,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
217,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
218,19,14,1,19,12,2,20,1,6,10,20,36,Trusted
219,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
220,27,29,4,31,20,2,33,9,4,19,33,59,Trusted
221,13,14,2,15,10,2,18,5,3,10,18,30,Trusted
222,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
223,16,11,1,17,12,2,18,5,5,11,21,33,Trusted
224,34,16,3,34,22,2,26,10,5,16,32,62,Uncertain
225,18,19,3,20,14,2,23,6,4,13,23,40,Trusted
226,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
227,23,14,2,25,13,2,19,3,2,12,22,44,Trusted
228,22,18,1,25,12,2,21,2,3,12,21,43,Trusted
229,9,9,1,10,7,2,13,3,3,7,13,21,Trusted
230,16,11,2,31,17,2,14,6,2,15,27,55,Uncertain
231,41,26,1,43,19,2,32,3,3,18,32,70,Trusted
232,3,2,0,3,2,2,6,0,3,3,6,8,Trusted
233,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
234,37,33,2,42,22,2,36,5,3,21,36,73,Trusted
235,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
236,23,12,2,24,18,2,19,6,6,13,25,49,Uncertain
237,24,11,1,16,18,2,17,5,3,9,17,38,Trusted
238,18,8,1,10,16,2,12,1,5,7,13,30,Trusted
239,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
240,17,13,3,20,14,2,18,6,4,12,22,40,Trusted
241,9,4,2,14,10,2,6,4,3,7,14,29,Uncertain
242,28,7,2,44,26,2,15,9,3,19,35,78,Uncertain
243,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
244,20,5,0,9,17,2,11,0,6,6,12,29,Trusted
245,35,9,1,13,32,2,16,3,6,9,18,49,Uncertain
246,41,15,4,34,21,2,25,4,4,15,29,63,Uncertain
247,25,22,2,29,14,2,24,2,3,14,24,50,Trusted
248,15,7,2,21,15,2,12,6,5,12,23,41,Uncertain
249,12,10,1,12,9,2,16,3,5,8,16,25,Trusted
250,21,14,1,23,10,2,20,1,4,10,20,38,Trusted
251,12,14,2,14,10,2,18,4,4,10,18,29,Trusted
252,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
253,13,14,2,15,10,2,18,5,3,10,18,30,Trusted
254,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
255,15,6,3,22,15,2,10,7,3,12,22,43,Uncertain
256,21,11,2,19,13,2,16,6,3,9,18,37,Uncertain
257,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
258,13,7,2,19,12,2,11,7,2,10,19,36,Uncertain
259,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
260,38,14,3,34,17,2,22,1,2,13,25,58,Uncertain
261,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
262,22,10,3,26,17,2,18,9,3,13,25,49,Uncertain
263,13,13,2,14,10,2,17,4,4,9,17,29,Trusted
264,16,12,1,17,9,2,15,2,2,8,15,31,Trusted
265,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
266,20,11,4,37,22,2,15,5,3,18,32,69,Uncertain
267,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
268,28,20,4,22,21,2,21,3,4,12,21,51,Trusted
269,17,4,1,13,10,2,8,3,3,5,11,27,Uncertain
270,16,20,3,19,14,2,25,5,6,14,25,39,Trusted
271,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
272,11,13,2,13,9,2,16,4,3,9,16,27,Trusted
273,7,9,1,8,7,2,13,1,5,7,13,19,Trusted
274,14,11,1,15,8,2,13,1,2,7,13,28,Trusted
275,10,8,1,10,7,2,12,3,3,6,12,21,Trusted
276,2,1,0,1,2,2,2,0,1,1,2,6,Trusted
277,21,7,1,18,12,2,13,6,2,8,16,34,Uncertain
278,11,9,1,11,8,2,14,3,4,7,14,23,Trusted
279,27,18,2,28,13,2,21,1,2,12,21,48,Trusted
280,10,11,2,11,8,2,13,3,3,7,13,24,Trusted
281,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
282,50,16,2,36,34,2,24,4,2,15,28,77,Trusted
283,10,8,1,10,7,2,12,3,3,6,12,21,Trusted
284,23,21,2,27,13,2,22,1,3,13,22,47,Trusted
285,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
286,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
287,5,5,0,5,5,2,10,0,5,5,10,13,Trusted
288,9,9,1,10,7,2,13,3,3,7,13,21,Trusted
289,19,12,2,18,12,2,17,6,3,9,18,35,Uncertain
290,20,12,2,18,13,2,18,5,5,9,19,36,Uncertain
291,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
292,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
293,21,21,2,24,14,2,22,4,2,13,22,45,Trusted
294,14,11,1,15,8,2,13,1,2,7,13,28,Trusted
295,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
296,9,9,1,10,7,2,13,3,3,7,13,21,Trusted
297,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
298,25,16,2,24,16,2,21,8,3,12,23,46,Uncertain
299,9,9,1,10,7,2,13,3,3,7,13,21,Trusted
300,15,4,1,12,9,2,7,3,2,5,10,25,Uncertain
301,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
302,9,9,1,10,7,2,13,3,3,7,13,21,Trusted
303,28,22,2,30,15,2,24,1,2,14,24,53,Trusted
304,13,12,1,15,8,2,14,1,2,8,14,28,Trusted
305,11,13,2,13,9,2,16,4,3,9,16,27,Trusted
306,9,9,1,10,7,2,13,3,3,7,13,21,Trusted
307,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
308,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
309,18,20,1,22,12,2,20,2,3,12,20,41,Trusted
310,10,11,2,11,8,2,13,3,3,7,13,24,Trusted
311,9,7,1,9,6,2,10,3,2,5,10,19,Trusted
312,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
313,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
314,10,10,1,11,8,2,15,3,4,8,15,23,Trusted
315,9,9,1,10,7,2,13,3,3,7,13,21,Trusted
316,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
317,8,11,1,10,7,2,12,3,2,7,12,22,Trusted
318,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
319,23,25,3,27,16,2,25,3,3,15,25,51,Trusted
320,11,8,1,10,8,2,11,2,3,6,11,22,Trusted
321,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
322,21,13,2,21,11,2,17,1,2,10,18,38,Trusted
323,11,9,1,11,8,2,14,3,4,7,14,23,Trusted
324,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
325,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
326,11,10,2,11,8,2,12,3,3,6,12,24,Uncertain
327,9,7,1,9,6,2,10,3,2,5,10,19,Trusted
328,13,9,2,22,12,2,10,1,2,10,18,41,Uncertain
329,23,4,0,9,21,2,12,0,8,7,15,33,Uncertain
330,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
331,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
332,8,10,1,10,9,2,12,0,7,7,14,23,Uncertain
333,36,16,1,27,23,2,22,4,1,12,22,55,Trusted
334,16,14,1,18,10,2,18,2,3,10,18,33,Trusted
335,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
336,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
337,15,11,1,15,10,2,17,5,3,9,17,29,Trusted
338,14,11,1,14,10,2,14,4,3,8,15,29,Uncertain
339,12,10,1,13,8,2,15,5,2,8,15,25,Trusted
340,22,17,1,25,11,2,19,1,2,11,19,42,Trusted
341,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
342,21,8,1,17,13,2,15,6,3,9,18,35,Uncertain
343,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
344,22,6,0,9,20,2,15,0,9,7,16,32,Uncertain
345,51,20,1,48,21,2,25,1,1,16,29,78,Uncertain
346,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
347,26,8,1,22,14,2,15,8,1,9,18,40,Uncertain
348,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
349,18,15,1,20,11,2,20,3,3,11,20,36,Trusted
350,9,9,1,10,7,2,13,3,3,7,13,21,Trusted
351,17,10,3,24,16,2,13,6,3,13,23,47,Uncertain
352,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
353,8,6,1,8,5,2,8,3,1,4,8,17,Uncertain
354,8,10,1,10,6,2,10,2,1,6,10,21,Trusted
355,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
356,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
357,101,26,9,99,47,2,38,1,2,23,46,166,Trusted
358,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
359,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
360,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
361,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
362,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
363,10,5,1,9,6,2,7,3,1,4,8,19,Uncertain
364,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
365,19,21,2,23,13,2,22,2,3,13,22,43,Trusted
366,9,7,1,9,6,2,10,3,2,5,10,19,Trusted
367,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
368,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
369,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
370,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
371,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
372,14,10,1,14,9,2,12,5,1,7,13,28,Uncertain
373,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
374,15,11,1,16,8,2,13,2,1,7,13,29,Trusted
375,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
376,8,6,1,8,5,2,8,3,1,4,8,17,Uncertain
377,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
378,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
379,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
380,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
381,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
382,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
383,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
384,26,13,3,31,17,2,18,5,1,14,25,55,Trusted
385,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
386,6,4,1,3,7,2,4,0,2,3,5,14,Uncertain
387,2,1,0,1,2,2,2,0,1,1,2,6,Trusted
388,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
389,19,16,1,22,10,2,17,1,2,10,17,38,Trusted
390,8,7,1,8,6,2,9,2,2,5,9,18,Trusted
391,15,16,2,17,11,2,17,6,1,10,17,34,Trusted
392,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
393,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
394,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
395,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
396,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
397,11,7,1,8,9,2,9,3,1,5,9,21,Trusted
398,34,21,3,23,28,2,22,2,4,13,22,58,Trusted
399,6,4,1,3,7,2,4,0,2,3,5,14,Uncertain
400,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
401,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
402,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
403,8,6,1,8,5,2,8,3,1,4,8,17,Uncertain
404,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
405,47,2,4,63,55,2,11,6,1,11,32,125,Uncertain
406,28,0,0,17,36,2,7,3,7,11,21,56,Uncertain
407,41,7,5,64,45,2,16,2,6,17,39,124,Uncertain
408,10,1,0,3,10,2,4,0,3,3,6,16,Uncertain
409,31,3,3,79,66,2,8,2,1,20,41,157,Uncertain
410,27,15,1,26,15,2,25,11,1,13,25,45,Trusted
411,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
412,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
413,26,9,0,11,26,2,20,0,11,11,22,40,Trusted
414,0,9,0,0,0,2,15,14,2,13,29,116,Trusted
415,50,9,6,55,78,2,17,9,1,19,38,148,Uncertain
416,18,17,1,19,15,2,29,4,10,15,29,38,Trusted
417,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
418,34,11,1,15,30,2,18,5,4,10,19,49,Trusted
419,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
420,23,7,0,11,19,2,15,0,8,7,15,33,Trusted
421,24,6,0,9,24,2,15,0,9,9,18,36,Uncertain
422,10,10,1,11,8,2,15,3,4,8,15,23,Trusted
423,9,9,1,10,7,2,13,3,3,7,13,21,Trusted
424,16,3,0,7,13,2,7,0,4,4,8,23,Uncertain
425,31,30,4,29,26,2,26,3,4,17,27,65,Trusted
426,4,0,0,1,4,2,1,0,1,1,2,8,Uncertain
427,17,7,0,8,19,2,14,0,7,9,16,32,Trusted
428,25,12,1,16,21,2,20,3,7,11,21,41,Trusted
429,43,32,5,37,32,2,40,7,8,22,40,78,Trusted
430,8,3,0,4,7,2,6,0,3,3,6,14,Trusted
431,39,22,3,28,31,2,30,6,8,17,31,65,Trusted
