,"[('gen', 'der'), ('usd', 'der'), ('ent', 'ent')]","[['der', 'der', 'ent']]","[['gen', 'act'], ['der', 'ent'], ['der', 'ent']]","[['gen', 'act'], ['der', 'ent']]","[['gen', 'act'], ['inv', 'act'], ['der', 'ent'], ['der', 'ent']]","[['gen', 'usd', 'ent']]","[['usd', 'der', 'ent']]","[['usd', 'ent'], ['usd', 'ent']]",act,ent,label
149,18,8,38,0,0,10,13,19,19,53,Valor
150,10,2,16,0,0,4,6,8,8,24,Instinct
151,6,8,24,0,0,10,7,12,12,33,Valor
152,8,6,26,0,0,8,7,13,13,35,Valor
153,12,5,23,1,1,6,9,13,13,35,Instinct
154,12,14,43,5,5,20,16,29,29,70,Instinct
155,16,2,22,0,0,4,9,11,11,33,Instinct
156,16,6,30,0,0,8,11,15,15,43,Valor
157,4,8,26,0,0,10,6,13,13,34,Mystic
158,14,6,26,2,2,8,11,16,16,42,Mystic
159,16,6,30,2,2,10,12,18,18,48,Mystic
160,20,6,33,3,3,8,15,21,21,54,Instinct
161,16,4,28,0,0,6,10,14,14,40,Instinct
162,14,0,16,0,0,2,7,8,8,25,Valor
163,8,8,28,2,2,12,9,17,17,43,Mystic
164,20,10,42,0,0,10,15,21,21,58,Valor
165,16,1,19,1,1,4,9,11,11,32,Mystic
166,16,5,32,4,4,8,13,22,22,53,Mystic
167,16,12,34,8,8,20,18,29,29,69,Instinct
168,14,9,31,3,3,12,13,20,20,51,Instinct
169,20,4,30,0,0,6,12,15,15,44,Valor
170,12,3,17,1,1,4,8,10,10,28,Instinct
171,32,2,36,0,0,2,17,18,18,54,Valor
172,18,6,26,2,2,6,13,16,16,43,Mystic
173,26,2,40,0,0,4,14,20,20,56,Valor
174,12,6,32,0,0,8,9,16,16,43,Valor
175,14,5,25,1,1,8,10,14,14,39,Instinct
176,12,6,30,0,0,8,9,15,15,41,Mystic
177,18,2,22,2,2,6,11,14,14,39,Mystic
178,16,8,30,4,4,14,14,21,21,54,Instinct
179,12,8,29,3,3,12,12,19,19,48,Instinct
180,12,10,29,3,3,10,13,19,19,47,Instinct
181,26,8,48,0,0,8,17,24,24,66,Valor
182,20,16,47,9,9,22,24,37,37,87,Instinct
183,12,5,25,1,1,8,9,14,14,38,Instinct
184,14,8,28,4,4,14,13,20,20,51,Mystic
185,14,5,23,1,1,6,10,13,13,36,Instinct
186,14,2,24,0,0,4,8,12,12,34,Valor
187,16,15,44,6,6,20,19,31,31,75,Mystic
188,10,6,24,0,0,8,8,12,12,34,Valor
189,16,0,18,0,0,2,8,9,9,28,Instinct
190,18,3,25,1,1,6,11,14,14,40,Instinct
191,24,6,42,0,0,8,15,21,21,59,Valor
192,16,4,24,2,2,8,11,15,15,41,Instinct
193,18,10,33,5,5,14,17,24,24,60,Mystic
194,12,4,24,0,0,6,8,12,12,34,Instinct
195,12,9,27,3,3,12,12,18,18,46,Instinct
196,14,2,20,0,0,4,8,10,10,30,Instinct
197,22,0,24,0,0,2,11,12,12,37,Valor
198,14,4,20,2,2,6,10,13,13,35,Instinct
199,16,4,24,2,2,8,11,15,15,41,Instinct
200,12,6,24,2,2,10,10,15,15,40,Instinct
201,12,2,18,0,0,4,7,9,9,27,Valor
202,14,6,34,0,0,6,10,17,17,45,Valor
203,14,5,31,1,1,8,10,17,17,45,Instinct
204,10,6,26,0,0,8,8,13,13,36,Instinct
205,16,7,28,4,4,12,14,20,20,51,Instinct
206,20,6,44,0,0,8,13,22,22,59,Valor
207,12,7,24,2,2,8,11,15,15,39,Mystic
208,8,6,24,0,0,6,7,12,12,32,Valor
209,10,0,12,0,0,2,5,6,6,19,Valor
210,18,2,24,0,0,4,10,12,12,36,Valor
211,14,4,24,0,0,6,9,12,12,35,Valor
212,14,2,20,0,0,4,8,10,10,30,Mystic
213,12,12,44,0,0,14,12,22,22,58,Valor
214,10,0,12,0,0,2,5,6,6,19,Instinct
215,22,4,36,0,0,6,13,18,18,51,Valor
216,14,8,30,4,4,14,13,21,21,53,Instinct
217,12,8,28,0,0,8,10,14,14,39,Valor
218,16,0,18,0,0,2,8,9,9,28,Instinct
219,8,0,10,0,0,2,4,5,5,16,Valor
220,16,4,24,2,2,4,11,15,15,39,Instinct
221,24,4,34,0,0,6,14,17,17,50,Valor
222,8,2,20,0,0,4,5,10,10,27,Valor
223,18,10,32,6,6,14,18,25,25,61,Mystic
224,18,7,33,3,3,12,14,21,21,55,Mystic
225,20,9,38,4,4,14,17,25,25,64,Mystic
226,12,2,18,0,0,4,7,9,9,27,Valor
227,12,2,18,0,0,4,7,9,9,27,Instinct
228,16,13,37,7,7,16,20,29,29,68,Mystic
229,18,2,24,0,0,4,10,12,12,36,Valor
230,16,6,26,4,4,12,13,19,19,49,Mystic
231,12,0,14,0,0,2,6,7,7,22,Mystic
232,14,3,21,1,1,6,9,12,12,34,Instinct
233,20,4,28,2,2,6,13,17,17,46,Mystic
234,20,7,31,5,5,10,17,23,23,57,Instinct
235,10,15,44,6,6,20,17,31,31,72,Instinct
236,18,4,30,0,0,6,11,15,15,43,Valor
237,12,4,20,2,2,8,9,13,13,35,Mystic
238,22,2,28,0,0,4,12,14,14,42,Valor
239,14,8,30,2,2,10,12,18,18,47,Instinct
240,10,7,27,3,3,12,10,18,18,45,Instinct
241,10,0,12,0,0,2,5,6,6,19,Valor
242,18,6,32,2,2,10,13,19,19,51,Mystic
243,14,8,27,3,3,10,13,18,18,46,Mystic
244,12,4,30,0,0,6,8,15,15,40,Mystic
245,8,2,14,0,0,4,5,7,7,21,Valor
246,14,4,24,2,2,8,10,15,15,40,Mystic
247,20,8,30,6,6,14,17,24,24,60,Instinct
248,14,13,35,7,7,20,18,28,28,67,Instinct
249,10,15,46,6,6,18,18,32,32,73,Mystic
250,14,8,28,4,4,14,13,20,20,51,Mystic
251,18,11,44,4,4,16,17,28,28,70,Mystic
252,4,0,6,0,0,2,2,3,3,10,Valor
253,16,4,24,0,0,4,10,12,12,35,Valor
254,10,17,49,3,3,20,16,29,29,71,Instinct
255,8,4,20,0,0,6,6,10,10,28,Mystic
256,8,10,28,2,2,14,10,17,17,44,Mystic
257,4,4,16,0,0,6,4,8,8,22,Mystic
258,16,8,31,3,3,12,14,20,20,52,Mystic
259,8,0,10,0,0,2,4,5,5,16,Valor
260,20,6,34,0,0,8,13,17,17,49,Valor
261,16,13,34,10,10,24,20,32,32,75,Mystic
262,18,0,20,0,0,2,9,10,10,31,Mystic
263,8,12,37,5,5,18,13,26,26,61,Instinct
264,16,0,18,0,0,2,8,9,9,28,Instinct
265,18,6,36,0,0,8,12,18,18,50,Valor
266,14,7,33,3,3,10,13,21,21,52,Instinct
267,18,2,24,0,0,4,10,12,12,36,Valor
268,10,4,20,0,0,6,7,10,10,29,Instinct
269,10,7,23,3,3,12,10,16,16,41,Instinct
270,18,2,22,0,0,2,10,11,11,33,Instinct
271,2,8,20,0,0,10,5,10,10,27,Instinct
272,8,9,27,1,1,10,9,15,15,39,Mystic
273,18,5,29,3,3,8,14,19,19,49,Mystic
274,10,14,32,6,6,18,16,25,25,59,Instinct
275,26,2,32,0,0,4,14,16,16,48,Valor
276,16,12,43,3,3,14,16,26,26,65,Instinct
277,10,2,16,0,0,4,6,8,8,24,Mystic
278,20,4,30,0,0,6,12,15,15,44,Valor
279,6,4,16,0,0,6,5,8,8,23,Mystic
280,14,4,28,0,0,6,9,14,14,39,Valor
281,18,14,49,7,7,16,22,35,35,81,Instinct
282,14,6,26,0,0,6,10,13,13,37,Valor
283,12,8,26,2,2,10,11,16,16,42,Mystic
284,16,3,23,1,1,6,10,13,13,37,Instinct
285,14,7,27,3,3,12,12,18,18,47,Instinct
286,20,6,42,0,0,8,13,21,21,57,Valor
287,8,4,20,0,0,6,6,10,10,28,Valor
288,6,0,8,0,0,2,3,4,4,13,Instinct
289,18,10,32,4,4,12,16,22,22,56,Mystic
290,22,6,36,0,0,8,14,18,18,52,Valor
291,8,2,14,0,0,4,5,7,7,21,Mystic
292,14,4,26,0,0,6,9,13,13,37,Valor
293,14,3,19,1,1,4,9,11,11,31,Instinct
294,10,4,20,0,0,6,7,10,10,29,Mystic
295,20,4,26,2,2,6,13,16,16,44,Instinct
296,20,11,36,8,8,20,20,30,30,73,Mystic
297,12,6,30,0,0,8,9,15,15,41,Valor
298,24,4,38,0,0,6,14,19,19,54,Valor
299,16,6,26,2,2,8,12,16,16,43,Mystic
300,14,8,32,0,0,8,11,16,16,44,Valor
301,12,9,29,3,3,14,12,19,19,49,Mystic
302,18,4,26,2,2,6,12,16,16,43,Instinct
303,16,5,27,3,3,10,12,18,18,47,Instinct
304,14,4,22,2,2,8,10,14,14,38,Instinct
305,14,4,24,0,0,4,9,12,12,34,Instinct
306,16,2,24,0,0,4,9,12,12,35,Mystic
307,10,4,20,0,0,6,7,10,10,29,Mystic
308,16,5,30,2,2,8,12,18,18,47,Instinct
309,16,10,34,6,6,18,16,26,26,64,Instinct
310,12,5,23,3,3,10,10,16,16,41,Mystic
311,18,4,28,0,0,4,11,14,14,40,Valor
312,14,5,27,1,1,8,10,15,15,41,Instinct
313,20,6,32,2,2,8,14,19,19,51,Mystic
314,24,4,34,0,0,6,14,17,17,50,Valor
315,14,5,25,1,1,8,10,14,14,39,Mystic
316,12,4,20,2,2,8,9,13,13,35,Mystic
317,18,3,23,3,3,8,12,16,16,43,Instinct
318,8,0,10,0,0,2,4,5,5,16,Valor
319,16,6,28,4,4,12,13,20,20,51,Instinct
320,16,5,25,1,1,6,11,14,14,39,Mystic
321,14,6,30,0,0,8,10,15,15,42,Valor
322,12,8,28,4,4,12,13,20,20,49,Mystic
323,24,11,42,8,8,20,22,33,33,81,Mystic
324,16,9,34,4,4,14,15,23,23,58,Instinct
325,16,5,25,3,3,10,12,17,17,45,Instinct
326,16,5,25,1,1,6,11,14,14,39,Instinct
327,10,7,29,1,1,10,9,16,16,42,Mystic
328,14,4,22,2,2,8,10,14,14,38,Instinct
329,16,4,24,0,0,4,10,12,12,35,Valor
330,14,2,20,0,0,4,8,10,10,30,Instinct
331,6,4,14,0,0,4,5,7,7,20,Instinct
332,22,10,50,0,0,12,16,25,25,68,Valor
333,12,2,20,0,0,4,7,10,10,29,Valor
334,14,9,29,3,3,12,13,19,19,49,Instinct
335,14,5,21,3,3,6,11,15,15,38,Mystic
336,12,7,29,1,1,10,10,16,16,43,Instinct
337,12,8,29,1,1,8,11,16,16,42,Mystic
338,10,4,20,0,0,6,7,10,10,29,Instinct
339,18,4,28,0,0,6,11,14,14,41,Valor
340,12,7,29,1,1,10,10,16,16,43,Instinct
341,20,9,37,5,5,14,17,26,26,65,Instinct
342,16,13,40,4,4,14,17,26,26,64,Mystic
343,12,6,22,2,2,8,10,14,14,37,Mystic
344,16,4,28,0,0,6,10,14,14,40,Valor
345,22,3,27,3,3,8,14,18,18,49,Mystic
346,18,9,35,3,3,12,15,22,22,57,Mystic
347,8,2,14,0,0,4,5,7,7,21,Instinct
348,30,6,46,0,0,8,18,23,23,66,Valor
349,12,0,14,0,0,2,6,7,7,22,Mystic
350,16,8,32,4,4,14,14,22,22,56,Mystic
351,12,6,26,0,0,6,9,13,13,36,Valor
352,20,4,26,4,4,10,14,19,19,50,Mystic
353,18,1,21,1,1,4,10,12,12,35,Instinct
354,26,4,38,0,0,6,15,19,19,55,Valor
355,14,7,29,1,1,8,11,16,16,43,Mystic
356,18,8,36,0,0,10,13,18,18,51,Valor
357,10,2,20,0,0,4,6,10,10,28,Mystic
358,14,3,23,1,1,6,9,13,13,36,Instinct
359,14,9,29,5,5,14,14,22,22,54,Mystic
360,18,5,27,1,1,6,12,15,15,42,Instinct
361,10,2,18,0,0,4,6,9,9,26,Valor
362,18,1,21,1,1,4,10,12,12,35,Mystic
363,14,14,41,5,5,16,18,28,28,67,Mystic
364,8,2,14,0,0,4,5,7,7,21,Instinct
365,10,6,22,0,0,6,8,11,11,31,Instinct
366,8,2,14,0,0,4,5,7,7,21,Valor
367,22,1,25,1,1,4,12,14,14,41,Mystic
368,10,0,12,0,0,2,5,6,6,19,Mystic
369,18,6,28,4,4,10,15,20,20,51,Mystic
370,10,8,25,3,3,12,11,17,17,43,Mystic
371,18,10,46,4,4,16,16,29,29,72,Instinct
372,10,12,31,7,7,18,16,26,26,60,Instinct
373,22,2,28,0,0,4,12,14,14,42,Valor
374,14,8,28,2,2,10,12,17,17,45,Mystic
375,12,5,25,1,1,8,9,14,14,38,Mystic
376,18,6,33,3,3,10,14,21,21,54,Mystic
377,14,1,17,1,1,4,8,10,10,29,Mystic
378,24,2,30,0,0,4,13,15,15,45,Valor
379,18,8,31,5,5,12,16,23,23,57,Instinct
380,18,2,24,0,0,2,10,12,12,35,Valor
381,18,4,24,4,4,10,13,18,18,47,Mystic
382,18,2,24,0,0,4,10,12,12,36,Mystic
383,22,4,32,0,0,6,13,16,16,47,Valor
384,16,6,34,4,4,12,13,23,23,57,Mystic
385,22,2,28,0,0,4,12,14,14,42,Valor
386,16,4,24,2,2,8,11,15,15,41,Instinct
387,16,2,22,0,0,4,9,11,11,33,Valor
388,18,8,32,6,6,16,16,25,25,62,Instinct
389,12,0,14,0,0,2,6,7,7,22,Valor
390,10,15,34,8,8,22,18,29,29,67,Mystic
391,10,4,22,0,0,6,7,11,11,31,Valor
392,16,2,22,0,0,4,9,11,11,33,Valor
393,16,6,26,2,2,8,12,16,16,43,Mystic
394,16,6,29,3,3,10,13,19,19,49,Mystic
395,22,2,30,0,0,4,12,15,15,44,Valor
396,20,2,26,0,0,4,11,13,13,39,Valor
397,18,8,38,0,0,8,13,19,19,52,Valor
398,20,4,34,0,0,6,12,17,17,48,Valor
399,26,9,39,7,7,16,21,30,30,75,Instinct
400,12,2,18,0,0,4,7,9,9,27,Valor
401,16,5,27,1,1,8,11,15,15,42,Mystic
402,16,6,28,2,2,8,12,17,17,45,Mystic
403,14,10,28,4,4,12,14,20,20,50,Mystic
404,12,12,37,5,5,18,15,26,26,63,Instinct
405,16,4,28,0,0,6,10,14,14,40,Valor
406,28,4,40,0,0,6,16,20,20,58,Valor
407,12,11,31,3,3,12,13,20,20,50,Instinct
408,12,5,27,1,1,8,9,15,15,40,Mystic
409,12,6,24,0,0,6,9,12,12,34,Valor
410,12,0,14,0,0,2,6,7,7,22,Mystic
411,20,2,26,0,0,4,11,13,13,39,Valor
412,26,0,28,0,0,2,13,14,14,43,Valor
413,16,8,36,0,0,10,12,18,18,50,Valor
414,18,4,28,0,0,4,11,14,14,40,Valor
415,8,2,12,0,0,2,5,6,6,18,Mystic
416,18,4,26,2,2,8,12,16,16,44,Mystic
417,18,6,26,4,4,10,14,19,19,49,Instinct
418,18,6,27,3,3,8,14,18,18,47,Instinct
419,16,4,26,2,2,6,11,16,16,42,Mystic
420,12,6,28,0,0,8,9,14,14,39,Valor
421,16,4,25,1,1,4,11,14,14,38,Mystic
422,8,16,42,4,4,18,15,27,27,64,Mystic
423,24,4,34,0,0,6,14,17,17,50,Valor
424,14,5,23,3,3,10,11,16,16,42,Instinct
425,16,11,35,5,5,16,16,25,25,62,Mystic
426,12,2,18,0,0,4,7,9,9,27,Mystic
427,14,6,24,2,2,8,11,15,15,40,Mystic
428,12,12,34,4,4,16,15,23,23,57,Instinct
429,16,6,32,0,0,8,11,16,16,45,Valor
430,16,13,40,6,6,20,18,29,29,71,Mystic
431,16,5,25,3,3,10,12,17,17,45,Instinct
432,16,2,22,0,0,4,9,11,11,33,Mystic
433,22,4,30,0,0,4,13,15,15,44,Valor
434,10,4,25,1,1,4,8,14,14,35,Mystic
435,12,2,18,0,0,4,7,9,9,27,Valor
436,10,4,22,0,0,6,7,11,11,31,Valor
437,10,4,18,0,0,4,7,9,9,26,Instinct
438,18,5,29,3,3,10,13,19,19,50,Mystic
439,14,3,21,1,1,6,9,12,12,34,Instinct
440,18,7,33,1,1,8,13,18,18,49,Instinct
441,10,6,28,0,0,8,8,14,14,38,Valor
442,16,1,19,1,1,4,9,11,11,32,Mystic
443,16,4,24,2,2,8,11,15,15,41,Mystic
444,20,7,32,4,4,12,16,22,22,57,Mystic
445,20,0,22,0,0,2,10,11,11,34,Valor
446,16,8,40,0,0,8,12,20,20,53,Valor
447,24,10,41,7,7,16,21,31,31,76,Instinct
448,12,6,26,2,2,10,10,16,16,42,Instinct
449,10,0,12,0,0,2,5,6,6,19,Instinct
450,12,12,37,5,5,16,16,26,26,62,Mystic
451,10,10,32,4,4,16,12,22,22,54,Instinct
452,6,8,30,0,0,10,7,15,15,39,Instinct
453,20,10,42,0,0,10,15,21,21,58,Valor
454,18,6,30,2,2,10,13,18,18,49,Instinct
455,12,11,31,3,3,14,13,20,20,51,Mystic
456,16,4,28,2,2,8,11,17,17,45,Instinct
457,12,10,35,3,3,14,13,22,22,55,Instinct
458,18,10,33,5,5,14,17,24,24,60,Mystic
459,14,12,39,5,5,16,17,27,27,65,Instinct
460,10,0,12,0,0,2,5,6,6,19,Mystic
461,12,2,20,0,0,4,7,10,10,29,Mystic
462,14,9,31,5,5,16,14,23,23,57,Instinct
463,16,2,22,0,0,4,9,11,11,33,Valor
464,16,2,24,0,0,4,9,12,12,35,Mystic
465,26,4,38,0,0,6,15,19,19,55,Valor
466,12,7,24,2,2,8,11,15,15,39,Mystic
467,14,10,30,4,4,14,14,21,21,53,Mystic
468,6,10,36,2,2,14,9,21,21,51,Mystic
469,12,0,14,0,0,2,6,7,7,22,Instinct
470,14,4,26,0,0,6,9,13,13,37,Valor
471,12,0,14,0,0,2,6,7,7,22,Instinct
472,10,2,16,0,0,4,6,8,8,24,Instinct
473,8,10,40,2,2,14,10,23,23,56,Instinct
474,20,4,30,0,0,4,12,15,15,43,Valor
475,16,5,24,2,2,6,12,15,15,40,Mystic
476,16,8,28,4,4,12,14,20,20,51,Instinct
477,18,5,29,1,1,6,12,16,16,44,Mystic
478,10,9,37,1,1,10,10,20,20,50,Mystic
479,16,7,30,2,2,8,13,18,18,47,Mystic
480,14,8,28,2,2,10,12,17,17,45,Mystic
481,16,10,32,6,6,14,17,25,25,60,Instinct
482,10,6,23,1,1,8,9,13,13,35,Instinct
483,16,8,32,4,4,14,14,22,22,56,Mystic
484,10,2,16,0,0,4,6,8,8,24,Valor
485,14,6,30,0,0,8,10,15,15,42,Valor
486,20,2,30,0,0,4,11,15,15,43,Valor
487,18,2,26,0,0,4,10,13,13,38,Instinct
488,8,4,26,0,0,6,6,13,13,34,Instinct
489,12,3,19,1,1,6,8,11,11,31,Instinct
490,18,3,23,3,3,8,12,16,16,43,Instinct
491,12,12,48,0,0,12,12,24,24,61,Valor
492,18,6,32,0,0,8,12,16,16,46,Valor
493,12,7,34,2,2,10,11,20,20,50,Mystic
494,12,9,29,3,3,14,12,19,19,49,Mystic
495,14,6,34,0,0,6,10,17,17,45,Valor
496,16,7,29,3,3,12,13,19,19,50,Mystic
497,14,5,24,2,2,8,11,15,15,40,Mystic
498,20,7,32,4,4,12,16,22,22,57,Mystic
499,12,4,22,0,0,6,8,11,11,32,Mystic
500,14,12,40,0,0,12,13,20,20,54,Valor
501,10,4,18,0,0,4,7,9,9,26,Mystic
502,18,6,27,5,5,12,15,21,21,53,Instinct
503,6,16,38,4,4,20,14,25,25,60,Instinct
504,24,6,36,0,0,6,15,18,18,52,Valor
505,16,4,28,0,0,6,10,14,14,40,Valor
506,18,6,30,0,0,6,12,15,15,43,Valor
507,18,2,23,1,1,4,11,13,13,37,Instinct
508,6,0,8,0,0,2,3,4,4,13,Valor
