,"('act', '{<QualifiedName: collabmap:BuildingVerification>}')","('act', '{<QualifiedName: collabmap:CompletionVerification>}')","('act', '{<QualifiedName: collabmap:RouteIdentification>}')","('act', '{<QualifiedName: collabmap:RouteVerification>}')","('ent', '{<QualifiedName: collabmap:Building>}')","('ent', '{<QualifiedName: collabmap:Route>}')","('ent', '{<QualifiedName: collabmap:RouteSet>}')","('ent', '{<QualifiedName: collabmap:Vote>}')","[('der', 'gen'), ('der', 'usd'), (('ent', '{<QualifiedName: collabmap:Building>}'), ('ent', '{<QualifiedName: collabmap:Building>}'))]","[['der', 'der', ('ent', '{<QualifiedName: collabmap:Building>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:Building>}')], ['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['gen', ('act', '{<QualifiedName: collabmap:RouteIdentification>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:Building>}')], ['gen', ('act', '{<QualifiedName: collabmap:BuildingVerification>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:Building>}')], ['gen', ('act', '{<QualifiedName: collabmap:RouteIdentification>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:Building>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['der', ('ent', '{<QualifiedName: collabmap:Building>}')], ['gen', ('act', '{<QualifiedName: collabmap:RouteIdentification>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['der', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['gen', ('act', '{<QualifiedName: collabmap:RouteIdentification>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['der', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['gen', ('act', '{<QualifiedName: collabmap:RouteIdentification>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['der', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['gen', ('act', '{<QualifiedName: collabmap:RouteIdentification>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['der', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['gen', ('act', '{<QualifiedName: collabmap:RouteIdentification>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['der', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['gen', ('act', '{<QualifiedName: collabmap:RouteVerification>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['gen', ('act', '{<QualifiedName: collabmap:CompletionVerification>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['gen', ('act', '{<QualifiedName: collabmap:RouteIdentification>}')]]","[['gen', 'usd', ('ent', '{<QualifiedName: collabmap:Building>}')]]","[['usd', 'der', ('ent', '{<QualifiedName: collabmap:Building>}')]]","[['usd', ('ent', '{<QualifiedName: collabmap:Building>}')]]","[['usd', ('ent', '{<QualifiedName: collabmap:Route>}')], ['usd', ('ent', '{<QualifiedName: collabmap:Route>}')], ['usd', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['usd', ('ent', '{<QualifiedName: collabmap:Route>}')]]","[['usd', ('ent', '{<QualifiedName: collabmap:Route>}')], ['usd', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['usd', ('ent', '{<QualifiedName: collabmap:Route>}')]]","[['usd', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['usd', ('ent', '{<QualifiedName: collabmap:Route>}')]]","[['usd', ('ent', '{<QualifiedName: collabmap:RouteSet>}')]]",label
29,2,2,2,3,1,2,2,13,2,7,1,2,1,1,1,0,0,1,1,5,2,1,3,4,3,0,2,1,3,Trusted
30,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
31,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Trusted
32,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
33,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Trusted
34,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Trusted
35,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Trusted
36,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Trusted
37,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Trusted
38,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Trusted
39,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Trusted
40,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Trusted
41,2,3,2,4,1,2,2,16,2,8,1,2,1,1,1,0,0,1,1,7,3,1,3,5,3,0,3,1,4,Trusted
42,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
43,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Trusted
44,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Trusted
45,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
46,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
47,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
48,2,3,1,3,1,1,1,10,2,6,1,2,1,1,1,0,0,0,0,3,3,0,3,6,3,0,0,3,3,Trusted
49,2,3,1,3,1,1,1,10,2,6,1,2,1,1,1,0,0,0,0,3,3,0,3,6,3,0,0,3,3,Trusted
50,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
51,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
52,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
53,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
54,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
55,2,4,2,4,1,2,2,14,2,10,1,2,1,1,1,0,0,1,1,5,4,1,3,8,3,0,1,3,5,Trusted
56,2,7,2,8,1,2,3,27,2,14,1,2,1,1,1,0,0,1,1,13,7,1,3,11,3,0,5,3,8,Trusted
57,2,15,9,15,1,9,10,60,2,21,1,2,1,1,1,1,3,4,8,32,15,8,3,15,3,4,6,3,23,Trusted
58,2,18,4,20,1,4,10,73,2,22,1,2,1,1,1,0,1,2,3,42,18,3,3,18,3,3,13,4,21,Trusted
59,2,5,2,7,1,2,3,25,2,13,1,2,1,1,1,0,0,1,1,13,5,1,3,8,3,0,5,2,6,Trusted
60,2,7,3,7,1,3,3,28,2,13,1,2,1,1,1,0,1,1,2,15,7,2,3,10,3,3,2,2,9,Trusted
61,2,10,4,10,1,4,5,36,2,20,1,2,1,1,1,0,2,1,3,19,10,3,3,15,3,2,4,4,13,Trusted
62,2,8,3,10,1,3,3,33,2,20,1,2,1,1,1,0,1,1,2,17,8,2,3,15,3,3,1,6,10,Trusted
63,2,10,2,10,1,2,3,31,2,19,1,2,1,1,1,0,0,1,1,16,10,1,3,16,3,0,5,5,11,Trusted
64,2,5,2,8,1,2,4,27,2,13,1,2,1,1,1,0,0,1,1,13,5,1,3,9,3,0,4,3,6,Trusted
65,2,8,3,8,1,3,3,26,2,18,1,2,1,1,1,0,0,2,2,12,8,2,3,14,3,0,4,4,10,Trusted
66,2,12,3,12,1,3,4,37,2,22,1,2,1,1,1,0,0,2,2,18,12,2,3,18,3,0,6,5,14,Trusted
67,2,3,1,3,1,1,1,10,2,6,1,2,1,1,1,0,0,0,0,3,3,0,3,6,3,0,0,3,3,Trusted
68,2,9,4,10,1,4,4,44,2,17,1,2,1,1,1,1,1,1,3,27,9,3,3,12,3,3,2,2,12,Trusted
69,2,4,1,5,1,1,1,14,2,10,1,2,1,1,1,0,0,0,0,5,4,0,3,9,3,0,0,5,4,Trusted
70,2,12,5,15,1,5,10,56,2,19,1,2,1,1,1,0,0,4,4,31,12,4,3,12,3,0,13,2,16,Trusted
71,2,11,5,15,1,5,12,59,2,15,1,2,1,1,1,0,1,3,4,35,11,4,3,11,3,2,9,2,15,Trusted
72,2,8,3,9,1,3,3,28,2,20,1,2,1,1,1,0,0,2,2,13,8,2,3,15,3,0,4,5,10,Trusted
73,2,3,1,3,1,1,1,10,2,6,1,2,1,1,1,0,0,0,0,3,3,0,3,6,3,0,0,3,3,Trusted
74,2,7,3,10,1,3,4,32,2,21,1,2,1,1,1,0,0,2,2,15,7,2,3,14,3,0,5,5,9,Trusted
75,2,11,3,11,1,3,3,38,2,19,1,2,1,1,1,0,1,1,2,21,11,2,3,16,3,3,4,4,13,Trusted
76,2,10,3,10,1,3,4,40,2,15,1,2,1,1,1,0,1,1,2,23,10,2,3,12,3,5,2,2,12,Trusted
77,2,5,2,5,1,2,2,18,2,10,1,2,1,1,1,0,0,1,1,8,5,1,3,8,3,0,3,2,6,Trusted
78,2,3,1,3,1,1,1,10,2,6,1,2,1,1,1,0,0,0,0,3,3,0,3,6,3,0,0,3,3,Trusted
79,2,8,2,9,1,2,3,29,2,16,1,2,1,1,1,0,0,1,1,16,8,1,3,13,3,0,5,3,9,Trusted
80,2,10,2,10,1,2,3,31,2,16,1,2,1,1,1,0,0,1,1,15,10,1,3,14,3,0,5,4,11,Trusted
81,2,12,5,12,1,5,6,51,2,24,1,2,1,1,1,1,1,2,4,31,12,4,3,17,3,3,3,3,16,Trusted
82,2,5,2,5,1,2,3,17,2,8,1,2,1,1,1,0,0,1,1,6,5,1,3,6,3,0,1,2,6,Trusted
83,2,9,4,12,1,4,6,40,2,22,1,2,1,1,1,0,0,3,3,20,9,3,3,15,3,0,7,5,12,Trusted
84,2,14,5,15,1,5,11,57,2,13,1,2,1,1,1,0,0,4,4,33,14,4,3,9,3,0,13,1,18,Trusted
85,2,9,3,9,1,3,3,29,2,19,1,2,1,1,1,0,0,2,2,14,9,2,3,15,3,0,5,4,11,Trusted
86,2,8,4,9,1,4,4,29,2,23,1,2,1,1,1,0,0,3,3,13,8,3,3,16,3,0,4,5,11,Trusted
87,2,10,4,14,1,4,6,46,2,28,1,2,1,1,1,0,0,3,3,23,10,3,3,18,3,0,9,5,13,Trusted
88,2,14,5,16,1,5,9,55,2,16,1,2,1,1,1,0,0,4,4,30,14,4,3,12,3,0,11,4,18,Trusted
89,2,15,9,17,1,9,13,83,2,35,1,2,1,1,1,2,2,3,8,51,15,8,3,20,3,3,3,3,23,Trusted
90,2,12,7,14,1,7,13,56,2,20,1,2,1,1,1,0,0,6,6,29,12,6,3,11,3,0,12,2,18,Trusted
91,2,3,1,3,1,1,1,10,2,6,1,2,1,1,1,0,0,0,0,3,3,0,3,6,3,0,0,3,3,Trusted
92,2,6,2,8,1,2,2,24,2,16,1,2,1,1,1,0,0,1,1,11,6,1,3,12,3,0,3,5,7,Trusted
93,2,6,2,6,1,2,2,18,2,14,1,2,1,1,1,0,0,1,1,7,6,1,3,12,3,0,1,5,7,Trusted
94,2,14,6,14,1,6,7,49,2,30,1,2,1,1,1,0,1,4,5,26,14,5,3,21,3,1,9,4,19,Trusted
95,2,3,1,3,1,1,1,10,2,6,1,2,1,1,1,0,0,0,0,3,3,0,3,6,3,0,0,3,3,Trusted
96,2,3,1,3,1,1,1,10,2,6,1,2,1,1,1,0,0,0,0,3,3,0,3,6,3,0,0,3,3,Trusted
97,2,3,2,4,1,2,5,19,2,8,1,2,1,1,1,0,0,1,1,9,3,1,3,5,3,0,3,1,4,Trusted
98,2,14,4,15,1,4,7,51,2,21,1,2,1,1,1,0,0,3,3,28,14,3,3,15,3,0,11,3,17,Trusted
99,2,19,14,19,1,14,19,82,2,35,1,2,1,1,1,1,6,5,13,43,19,13,3,20,3,5,9,3,32,Trusted
100,2,14,9,15,1,9,10,65,2,22,1,2,1,1,1,2,3,3,8,37,14,8,3,14,3,2,6,3,22,Trusted
101,2,8,3,9,1,3,4,31,2,14,1,2,1,1,1,0,0,2,2,15,8,2,3,11,3,0,6,3,10,Trusted
102,2,9,4,9,1,4,5,31,2,18,1,2,1,1,1,0,0,3,3,14,9,3,3,14,3,0,5,4,12,Trusted
103,2,3,1,3,1,1,1,10,2,6,1,2,1,1,1,0,0,0,0,3,3,0,3,6,3,0,0,3,3,Trusted
104,2,14,8,15,1,8,10,67,2,30,1,2,1,1,1,1,3,2,7,40,14,7,3,20,3,2,5,4,21,Trusted
105,2,3,1,3,1,1,1,10,2,6,1,2,1,1,1,0,0,0,0,3,3,0,3,6,3,0,0,3,3,Trusted
106,6,0,0,0,1,0,0,7,0,0,0,6,0,1,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,Uncertain
107,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
108,2,2,1,2,1,1,1,8,2,4,1,2,1,1,1,0,0,0,0,2,2,0,3,4,3,0,0,2,2,Trusted
109,2,17,8,17,1,8,11,68,2,20,1,2,1,1,1,0,3,4,7,38,17,7,3,14,3,5,10,2,24,Trusted
110,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
111,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
112,2,2,1,2,1,1,1,8,2,4,1,2,1,1,1,0,0,0,0,2,2,0,3,4,3,0,0,2,2,Trusted
113,2,3,1,3,1,1,1,10,2,6,1,2,1,1,1,0,0,0,0,3,3,0,3,6,3,0,0,3,3,Trusted
114,2,8,2,8,1,2,2,24,2,16,1,2,1,1,1,0,0,1,1,11,8,1,3,14,3,0,3,5,9,Trusted
115,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
116,2,6,4,10,1,4,6,40,2,11,1,2,1,1,1,0,0,3,3,25,6,3,3,7,3,0,5,1,9,Trusted
117,2,17,7,19,1,7,9,70,2,13,1,2,1,1,1,0,2,4,6,39,17,6,3,9,3,5,10,1,23,Trusted
118,2,14,3,15,1,3,6,50,2,26,1,2,1,1,1,0,0,2,2,28,14,2,3,20,3,0,11,4,16,Trusted
119,2,3,1,3,1,1,1,10,2,6,1,2,1,1,1,0,0,0,0,3,3,0,3,6,3,0,0,3,3,Trusted
120,2,15,8,15,1,8,9,80,2,27,1,2,1,1,1,2,1,1,7,53,15,7,3,18,3,2,2,2,22,Trusted
121,2,14,3,16,1,3,8,54,2,27,1,2,1,1,1,0,0,2,2,30,14,2,3,19,3,0,10,4,16,Trusted
122,2,13,11,14,1,11,14,82,2,27,1,2,1,1,1,2,2,2,10,51,13,10,3,15,3,3,3,2,23,Trusted
123,2,10,3,11,1,3,3,32,2,24,1,2,1,1,1,0,0,2,2,15,10,2,3,19,3,0,4,7,12,Trusted
124,2,5,2,5,1,2,2,18,2,10,1,2,1,1,1,0,0,1,1,8,5,1,3,8,3,0,3,2,6,Trusted
125,2,10,3,11,1,3,5,36,2,14,1,2,1,1,1,0,0,2,2,18,10,2,3,11,3,0,6,4,12,Trusted
126,2,7,2,7,1,2,2,22,2,14,1,2,1,1,1,0,0,1,1,10,7,1,3,12,3,0,3,4,8,Trusted
127,2,3,1,3,1,1,1,10,2,6,1,2,1,1,1,0,0,0,0,3,3,0,3,6,3,0,0,3,3,Trusted
128,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
129,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
130,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Uncertain
131,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Uncertain
132,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Uncertain
133,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Uncertain
134,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Uncertain
135,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Uncertain
136,4,4,2,5,1,2,5,23,2,9,1,4,1,1,1,0,0,1,1,11,4,1,5,6,5,0,4,1,5,Trusted
137,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Uncertain
138,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
139,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
140,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
141,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
142,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Uncertain
143,2,2,1,2,1,1,1,8,2,4,1,2,1,1,1,0,0,0,0,2,2,0,3,4,3,0,0,2,2,Trusted
144,2,3,1,3,1,1,1,10,2,6,1,2,1,1,1,0,0,0,0,3,3,0,3,6,3,0,0,3,3,Trusted
145,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
146,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Uncertain
147,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Uncertain
148,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
149,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Uncertain
150,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Uncertain
151,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Uncertain
152,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
153,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
154,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
