,"[('gen', 'der'), ('usd', 'der'), ('ent', 'ent')]","[['der', 'der', 'ent']]","[['gen', 'act'], ['der', 'ent'], ['der', 'ent']]","[['gen', 'usd', 'ent']]","[['usd', 'der', 'ent']]","[['usd', 'ent'], ['usd', 'ent']]",act,ent,label
63,6,0,8,2,3,4,4,13,Mystic
64,0,0,2,2,0,1,1,4,Mystic
65,4,0,6,2,2,3,3,10,Mystic
66,6,0,8,2,3,4,4,13,Mystic
67,0,4,10,4,2,5,5,13,Valor
68,4,0,6,2,2,3,3,10,Mystic
69,2,0,4,2,1,2,2,7,Mystic
70,2,0,4,2,1,2,2,7,Valor
71,8,6,32,8,7,16,16,41,Instinct
72,6,2,14,4,4,7,7,20,Mystic
73,4,2,8,2,3,4,4,12,Mystic
74,6,0,8,2,3,4,4,13,Mystic
75,12,8,30,8,10,15,15,41,Instinct
76,0,0,2,2,0,1,1,4,Mystic
77,0,0,2,2,0,1,1,4,Mystic
78,22,2,28,4,12,14,14,42,Instinct
79,0,4,8,4,2,4,4,11,Valor
80,6,0,8,2,3,4,4,13,Mystic
81,6,0,8,2,3,4,4,13,Valor
82,6,2,12,4,4,6,6,18,Mystic
83,4,4,16,4,4,8,8,21,Mystic
84,10,8,34,10,9,17,17,45,Instinct
85,6,0,8,2,3,4,4,13,Valor
86,8,2,12,2,5,6,6,18,Mystic
87,2,4,12,6,3,6,6,17,Mystic
88,10,0,12,2,5,6,6,19,Mystic
89,10,6,22,6,8,11,11,31,Instinct
90,14,2,20,4,8,10,10,30,Instinct
91,0,2,4,2,1,2,2,6,Mystic
92,14,0,16,2,7,8,8,25,Instinct
93,0,0,2,2,0,1,1,4,Mystic
94,16,4,28,4,10,14,14,39,Instinct
95,8,6,26,8,7,13,13,35,Instinct
96,0,2,6,2,1,3,3,8,Mystic
97,10,4,20,6,7,10,10,29,Instinct
98,0,0,2,2,0,1,1,4,Mystic
99,2,0,4,2,1,2,2,7,Valor
100,0,0,2,2,0,1,1,4,Mystic
101,0,2,6,2,1,3,3,8,Mystic
102,14,6,28,6,10,14,14,39,Instinct
103,10,8,32,8,9,16,16,42,Instinct
104,0,0,2,2,0,1,1,4,Valor
105,0,2,4,2,1,2,2,6,Valor
106,12,2,18,4,7,9,9,27,Instinct
107,0,0,2,2,0,1,1,4,Mystic
108,4,0,6,2,2,3,3,10,Valor
109,14,4,22,4,9,11,11,32,Instinct
110,2,0,4,2,1,2,2,7,Valor
111,0,0,2,2,0,1,1,4,Mystic
112,12,4,24,6,8,12,12,34,Instinct
113,4,0,6,2,2,3,3,10,Mystic
114,0,0,2,2,0,1,1,4,Mystic
115,0,2,4,2,1,2,2,6,Valor
116,8,8,28,8,8,14,14,37,Instinct
117,0,0,2,2,0,1,1,4,Mystic
118,2,0,4,2,1,2,2,7,Mystic
119,2,0,4,2,1,2,2,7,Mystic
120,0,0,2,2,0,1,1,4,Valor
121,16,4,26,6,10,13,13,38,Instinct
122,0,2,4,2,1,2,2,6,Valor
123,12,4,26,6,8,13,13,36,Instinct
124,14,0,16,2,7,8,8,25,Instinct
125,0,0,2,2,0,1,1,4,Valor
126,12,4,22,6,8,11,11,32,Instinct
127,0,0,2,2,0,1,1,4,Mystic
128,0,2,6,4,1,3,3,9,Valor
129,14,2,20,4,8,10,10,30,Instinct
130,0,0,2,2,0,1,1,4,Mystic
131,0,0,2,2,0,1,1,4,Mystic
132,4,2,8,2,3,4,4,12,Mystic
133,4,2,8,2,3,4,4,12,Mystic
134,4,0,6,2,2,3,3,10,Valor
135,8,6,22,6,7,11,11,30,Instinct
136,14,4,28,6,9,14,14,39,Instinct
137,0,2,8,2,1,4,4,10,Mystic
138,0,0,2,2,0,1,1,4,Valor
139,0,2,4,2,1,2,2,6,Valor
140,2,0,4,2,1,2,2,7,Valor
141,0,0,2,2,0,1,1,4,Valor
142,0,2,4,2,1,2,2,6,Valor
143,8,8,24,8,8,12,12,33,Instinct
144,0,0,2,2,0,1,1,4,Valor
145,0,0,2,2,0,1,1,4,Valor
146,2,0,4,2,1,2,2,7,Mystic
147,22,2,28,4,12,14,14,42,Instinct
148,10,8,30,8,9,15,15,40,Instinct
149,12,10,34,10,11,17,17,46,Instinct
150,4,4,14,4,4,7,7,19,Valor
151,0,0,2,2,0,1,1,4,Valor
152,0,2,6,4,1,3,3,9,Mystic
153,6,10,36,12,8,18,18,46,Instinct
154,14,4,22,4,9,11,11,32,Instinct
155,0,0,2,2,0,1,1,4,Mystic
156,6,8,30,10,7,15,15,39,Instinct
157,4,0,6,2,2,3,3,10,Valor
158,4,2,8,2,3,4,4,12,Valor
159,0,2,6,4,1,3,3,9,Mystic
160,0,0,2,2,0,1,1,4,Mystic
161,2,0,4,2,1,2,2,7,Mystic
162,12,8,34,10,10,17,17,46,Instinct
163,4,0,6,2,2,3,3,10,Mystic
164,2,0,4,2,1,2,2,7,Valor
165,0,2,6,4,1,3,3,9,Valor
166,14,2,20,4,8,10,10,30,Instinct
167,0,2,8,2,1,4,4,10,Valor
168,4,8,36,10,6,18,18,44,Instinct
169,0,0,2,2,0,1,1,4,Valor
170,4,2,10,4,3,5,5,15,Mystic
171,0,2,6,4,1,3,3,9,Mystic
172,12,6,26,8,9,13,13,37,Instinct
173,6,2,14,4,4,7,7,20,Mystic
174,12,6,24,6,9,12,12,34,Instinct
175,12,4,24,6,8,12,12,34,Instinct
176,12,6,26,6,9,13,13,36,Instinct
177,2,2,8,4,2,4,4,12,Valor
178,4,0,6,2,2,3,3,10,Mystic
179,2,2,6,2,2,3,3,9,Valor
180,0,0,2,2,0,1,1,4,Valor
181,6,2,12,4,4,6,6,18,Mystic
182,0,0,2,2,0,1,1,4,Mystic
183,2,0,4,2,1,2,2,7,Mystic
184,6,0,8,2,3,4,4,13,Mystic
185,0,2,4,2,1,2,2,6,Valor
186,4,4,16,4,4,8,8,21,Valor
187,14,0,16,2,7,8,8,25,Mystic
188,8,4,16,4,6,8,8,23,Valor
189,0,2,4,2,1,2,2,6,Valor
190,0,0,2,2,0,1,1,4,Valor
191,0,0,2,2,0,1,1,4,Valor
192,2,2,8,4,2,4,4,12,Mystic
193,2,0,4,2,1,2,2,7,Valor
194,14,4,22,4,9,11,11,32,Instinct
195,12,4,26,6,8,13,13,36,Instinct
196,0,2,4,2,1,2,2,6,Valor
197,0,0,2,2,0,1,1,4,Valor
198,2,0,4,2,1,2,2,7,Mystic
199,10,4,24,6,7,12,12,33,Instinct
200,0,0,2,2,0,1,1,4,Valor
201,0,0,2,2,0,1,1,4,Valor
202,2,2,8,4,2,4,4,12,Valor
203,0,0,2,2,0,1,1,4,Valor
204,0,0,2,2,0,1,1,4,Mystic
205,0,2,4,2,1,2,2,6,Valor
206,2,0,4,2,1,2,2,7,Mystic
207,16,2,22,4,9,11,11,33,Instinct
208,6,6,22,8,6,11,11,30,Instinct
209,0,2,4,2,1,2,2,6,Valor
210,12,6,28,8,9,14,14,39,Instinct
211,0,2,4,2,1,2,2,6,Mystic
212,4,8,32,10,6,16,16,40,Instinct
213,0,2,4,2,1,2,2,6,Valor
214,14,2,20,4,8,10,10,30,Instinct
215,2,0,4,2,1,2,2,7,Valor
216,0,0,2,2,0,1,1,4,Mystic
217,14,4,26,6,9,13,13,37,Instinct
218,0,0,2,2,0,1,1,4,Mystic
219,14,2,20,4,8,10,10,30,Instinct
220,0,2,4,2,1,2,2,6,Valor
221,0,2,6,2,1,3,3,8,Mystic
222,0,2,6,4,1,3,3,9,Valor
223,12,4,22,6,8,11,11,32,Instinct
224,12,4,24,6,8,12,12,34,Instinct
225,20,2,26,4,11,13,13,39,Instinct
226,0,2,4,2,1,2,2,6,Mystic
227,0,0,2,2,0,1,1,4,Mystic
228,14,4,26,6,9,13,13,37,Instinct
229,6,8,28,8,7,14,14,36,Instinct
230,0,2,4,2,1,2,2,6,Mystic
231,0,0,2,2,0,1,1,4,Valor
232,0,2,6,4,1,3,3,9,Valor
233,8,6,26,8,7,13,13,35,Instinct
234,0,2,6,4,1,3,3,9,Mystic
235,0,2,4,2,1,2,2,6,Valor
236,0,0,2,2,0,1,1,4,Mystic
237,0,0,2,2,0,1,1,4,Mystic
238,20,2,26,4,11,13,13,39,Instinct
239,0,0,2,2,0,1,1,4,Valor
240,0,0,2,2,0,1,1,4,Mystic
241,2,0,4,2,1,2,2,7,Valor
242,0,0,2,2,0,1,1,4,Valor
243,10,2,18,4,6,9,9,26,Instinct
244,8,6,30,8,7,15,15,39,Instinct
245,0,2,6,2,1,3,3,8,Mystic
246,0,2,4,2,1,2,2,6,Valor
247,16,0,18,2,8,9,9,28,Instinct
248,10,6,28,8,8,14,14,38,Instinct
249,0,0,2,2,0,1,1,4,Valor
250,20,4,30,4,12,15,15,43,Instinct
251,10,6,28,8,8,14,14,38,Instinct
252,10,6,30,8,8,15,15,40,Instinct
253,0,0,2,2,0,1,1,4,Valor
254,0,2,4,2,1,2,2,6,Valor
255,10,8,28,10,9,14,14,39,Instinct
256,0,0,2,2,0,1,1,4,Mystic
257,2,0,4,2,1,2,2,7,Mystic
258,12,2,18,4,7,9,9,27,Instinct
259,2,0,4,2,1,2,2,7,Mystic
260,12,2,16,2,7,8,8,24,Instinct
261,20,2,28,4,11,14,14,41,Instinct
262,14,2,20,4,8,10,10,30,Instinct
263,0,2,4,2,1,2,2,6,Mystic
264,2,0,4,2,1,2,2,7,Mystic
265,14,2,20,4,8,10,10,30,Instinct
266,14,4,26,6,9,13,13,37,Instinct
267,0,2,4,2,1,2,2,6,Mystic
268,12,4,22,6,8,11,11,32,Instinct
269,12,2,18,4,7,9,9,27,Instinct
270,8,0,10,2,4,5,5,16,Valor
271,2,0,4,2,1,2,2,7,Valor
272,8,0,10,2,4,5,5,16,Valor
273,4,4,14,4,4,7,7,19,Valor
274,2,0,4,2,1,2,2,7,Valor
275,4,0,6,2,2,3,3,10,Mystic
276,6,2,10,2,4,5,5,15,Valor
277,2,2,6,2,2,3,3,9,Valor
278,8,2,16,4,5,8,8,23,Mystic
279,16,2,22,4,9,11,11,33,Instinct
280,6,0,8,2,3,4,4,13,Valor
281,0,2,6,4,1,3,3,9,Valor
282,2,0,4,2,1,2,2,7,Valor
283,2,0,4,2,1,2,2,7,Valor
284,4,0,6,2,2,3,3,10,Valor
285,8,2,12,2,5,6,6,18,Mystic
286,18,2,26,4,10,13,13,38,Instinct
287,16,4,26,6,10,13,13,38,Instinct
288,10,4,24,6,7,12,12,33,Instinct
289,16,6,32,8,11,16,16,45,Instinct
290,4,2,8,2,3,4,4,12,Valor
291,12,4,24,6,8,12,12,34,Instinct
292,0,0,2,2,0,1,1,4,Valor
293,8,6,22,8,7,11,11,31,Instinct
294,14,8,30,8,11,15,15,42,Instinct
295,4,2,8,2,3,4,4,12,Valor
296,12,0,14,2,6,7,7,22,Mystic
297,8,0,10,2,4,5,5,16,Mystic
298,0,0,2,2,0,1,1,4,Valor
299,18,0,20,2,9,10,10,31,Instinct
300,14,2,18,2,8,9,9,27,Instinct
301,4,0,6,2,2,3,3,10,Mystic
302,4,2,12,4,3,6,6,17,Mystic
303,2,0,4,2,1,2,2,7,Valor
304,0,0,2,2,0,1,1,4,Valor
305,10,2,14,2,6,7,7,21,Mystic
306,0,0,2,2,0,1,1,4,Mystic
307,12,4,22,6,8,11,11,32,Instinct
308,2,2,8,4,2,4,4,12,Valor
309,18,2,24,4,10,12,12,36,Instinct
310,6,2,12,4,4,6,6,18,Mystic
311,8,2,14,4,5,7,7,21,Mystic
312,12,6,28,8,9,14,14,39,Instinct
313,2,2,8,4,2,4,4,12,Valor
314,2,2,8,2,2,4,4,11,Valor
315,0,2,6,4,1,3,3,9,Valor
316,12,2,18,4,7,9,9,27,Mystic
317,0,0,2,2,0,1,1,4,Mystic
318,2,2,8,4,2,4,4,12,Mystic
319,2,2,6,2,2,3,3,9,Valor
320,0,0,2,2,0,1,1,4,Mystic
321,6,0,8,2,3,4,4,13,Valor
322,0,2,6,4,1,3,3,9,Valor
323,4,2,10,4,3,5,5,15,Valor
324,14,4,28,6,9,14,14,39,Instinct
325,8,0,10,2,4,5,5,16,Mystic
326,10,2,14,2,6,7,7,21,Valor
327,4,2,10,2,3,5,5,14,Valor
328,0,2,4,2,1,2,2,6,Valor
329,12,4,24,6,8,12,12,34,Instinct
330,10,6,24,6,8,12,12,33,Instinct
331,8,0,10,2,4,5,5,16,Valor
332,10,4,26,6,7,13,13,35,Instinct
333,0,2,6,2,1,3,3,8,Mystic
334,0,2,6,4,1,3,3,9,Valor
335,4,0,6,2,2,3,3,10,Valor
336,0,2,6,4,1,3,3,9,Mystic
337,2,0,4,2,1,2,2,7,Mystic
338,4,0,6,2,2,3,3,10,Valor
339,14,4,26,6,9,13,13,37,Instinct
340,6,0,8,2,3,4,4,13,Mystic
341,8,8,28,10,8,14,14,38,Instinct
342,4,2,8,2,3,4,4,12,Valor
343,14,2,20,4,8,10,10,30,Instinct
344,10,4,24,6,7,12,12,33,Instinct
345,4,2,10,2,3,5,5,14,Valor
346,2,4,12,6,3,6,6,17,Valor
347,0,2,4,2,1,2,2,6,Valor
348,0,2,4,2,1,2,2,6,Mystic
349,4,0,6,2,2,3,3,10,Mystic
350,10,6,24,8,8,12,12,34,Instinct
351,10,4,20,6,7,10,10,29,Instinct
352,8,8,30,10,8,15,15,40,Instinct
353,8,4,20,6,6,10,10,28,Instinct
354,14,0,16,2,7,8,8,25,Instinct
355,0,0,2,2,0,1,1,4,Valor
356,0,2,4,2,1,2,2,6,Valor
357,8,4,18,6,6,9,9,26,Instinct
358,4,2,10,4,3,5,5,15,Instinct
359,14,4,22,4,9,11,11,32,Instinct
360,0,2,4,2,1,2,2,6,Mystic
361,12,2,18,2,7,9,9,26,Instinct
362,0,0,2,2,0,1,1,4,Mystic
363,0,0,2,2,0,1,1,4,Valor
364,2,0,4,2,1,2,2,7,Mystic
365,0,0,2,2,0,1,1,4,Valor
366,12,0,14,2,6,7,7,22,Instinct
367,4,0,6,2,2,3,3,10,Mystic
368,0,0,2,2,0,1,1,4,Valor
369,0,0,2,2,0,1,1,4,Valor
370,16,0,18,2,8,9,9,28,Instinct
371,4,0,6,2,2,3,3,10,Valor
372,0,2,4,2,1,2,2,6,Valor
373,12,4,24,6,8,12,12,34,Instinct
374,12,4,22,6,8,11,11,32,Instinct
375,0,2,6,4,1,3,3,9,Mystic
376,14,0,16,2,7,8,8,25,Instinct
377,0,0,2,2,0,1,1,4,Valor
378,0,2,6,4,1,3,3,9,Mystic
379,8,8,30,10,8,15,15,40,Instinct
380,0,2,4,2,1,2,2,6,Mystic
381,0,0,2,2,0,1,1,4,Valor
382,0,2,4,2,1,2,2,6,Valor
383,12,2,18,4,7,9,9,27,Instinct
384,18,0,20,2,9,10,10,31,Instinct
385,0,0,2,2,0,1,1,4,Mystic
386,12,6,30,8,9,15,15,41,Instinct
387,0,0,2,2,0,1,1,4,Valor
388,0,2,6,4,1,3,3,9,Mystic
389,0,0,2,2,0,1,1,4,Mystic
390,0,0,2,2,0,1,1,4,Mystic
391,0,2,6,4,1,3,3,9,Valor
392,4,0,6,2,2,3,3,10,Mystic
393,0,0,2,2,0,1,1,4,Valor
394,0,0,2,2,0,1,1,4,Mystic
395,14,4,24,6,9,12,12,35,Instinct
396,14,4,24,6,9,12,12,35,Instinct
397,4,0,6,2,2,3,3,10,Mystic
398,10,8,32,10,9,16,16,43,Instinct
399,0,2,8,2,1,4,4,10,Mystic
400,12,6,24,6,9,12,12,34,Instinct
401,4,0,6,2,2,3,3,10,Valor
402,0,2,4,2,1,2,2,6,Valor
403,6,8,26,10,7,13,13,35,Instinct
404,0,2,4,2,1,2,2,6,Valor
405,2,0,4,2,1,2,2,7,Valor
406,2,0,4,2,1,2,2,7,Mystic
407,16,2,24,4,9,12,12,35,Instinct
408,0,2,4,2,1,2,2,6,Mystic
409,0,2,6,2,1,3,3,8,Mystic
410,14,2,20,4,8,10,10,30,Instinct
411,6,0,8,2,3,4,4,13,Mystic
412,0,2,4,2,1,2,2,6,Valor
413,6,0,8,2,3,4,4,13,Mystic
414,0,2,6,2,1,3,3,8,Valor
415,0,0,2,2,0,1,1,4,Mystic
416,12,4,22,6,8,11,11,32,Instinct
417,12,2,22,4,7,11,11,31,Instinct
418,0,2,6,4,1,3,3,9,Valor
419,4,2,10,4,3,5,5,15,Valor
420,10,4,20,6,7,10,10,29,Instinct
421,4,0,6,2,2,3,3,10,Mystic
422,4,0,6,2,2,3,3,10,Mystic
423,2,2,6,2,2,3,3,9,Valor
424,6,0,8,2,3,4,4,13,Mystic
425,2,0,4,2,1,2,2,7,Mystic
426,2,2,10,4,2,5,5,14,Mystic
427,12,6,30,8,9,15,15,41,Instinct
428,16,2,24,4,9,12,12,35,Instinct
429,6,2,12,4,4,6,6,18,Mystic
430,0,2,6,4,1,3,3,9,Mystic
431,0,2,4,2,1,2,2,6,Valor
432,0,2,6,4,1,3,3,9,Valor
433,6,0,8,2,3,4,4,13,Mystic
434,2,4,12,6,3,6,6,17,Mystic
435,16,6,30,8,11,15,15,43,Instinct
436,10,4,28,6,7,14,14,37,Instinct
437,2,0,4,2,1,2,2,7,Valor
438,6,0,8,2,3,4,4,13,Valor
439,12,4,24,6,8,12,12,34,Instinct
440,16,4,28,6,10,14,14,40,Instinct
441,6,8,30,10,7,15,15,39,Instinct
442,2,0,4,2,1,2,2,7,Mystic
443,2,0,4,2,1,2,2,7,Valor
444,2,0,4,2,1,2,2,7,Valor
445,2,0,4,2,1,2,2,7,Mystic
446,20,6,32,6,13,16,16,46,Instinct
447,4,0,6,2,2,3,3,10,Mystic
448,18,6,36,8,12,18,18,50,Instinct
449,8,6,22,8,7,11,11,31,Instinct
450,18,8,38,10,13,19,19,53,Instinct
451,0,0,2,2,0,1,1,4,Mystic
452,2,0,4,2,1,2,2,7,Mystic
453,8,0,10,2,4,5,5,16,Mystic
454,12,4,22,6,8,11,11,32,Instinct
455,0,2,4,2,1,2,2,6,Valor
456,0,0,2,2,0,1,1,4,Valor
457,18,4,32,6,11,16,16,45,Instinct
458,4,2,10,4,3,5,5,15,Mystic
459,2,0,4,2,1,2,2,7,Mystic
460,0,4,8,4,2,4,4,11,Valor
461,0,0,2,2,0,1,1,4,Mystic
462,6,10,30,10,8,15,15,39,Instinct
463,2,0,4,2,1,2,2,7,Mystic
464,2,4,10,4,3,5,5,14,Mystic
465,0,0,2,2,0,1,1,4,Valor
466,8,6,24,8,7,12,12,33,Instinct
467,0,0,2,2,0,1,1,4,Mystic
468,14,2,20,4,8,10,10,30,Instinct
469,8,6,22,8,7,11,11,31,Instinct
470,4,2,8,2,3,4,4,12,Valor
471,6,6,20,8,6,10,10,28,Instinct
472,2,0,4,2,1,2,2,7,Mystic
473,0,2,6,2,1,3,3,8,Valor
474,0,0,2,2,0,1,1,4,Mystic
475,12,10,32,10,11,16,16,44,Instinct
476,2,0,4,2,1,2,2,7,Valor
477,6,8,34,10,7,17,17,43,Instinct
478,2,2,8,4,2,4,4,12,Valor
479,0,0,2,2,0,1,1,4,Valor
480,6,0,8,2,3,4,4,13,Mystic
481,12,4,22,6,8,11,11,32,Instinct
482,4,0,6,2,2,3,3,10,Valor
483,0,0,2,2,0,1,1,4,Mystic
484,0,0,2,2,0,1,1,4,Valor
485,14,6,28,8,10,14,14,40,Instinct
486,16,2,22,4,9,11,11,33,Instinct
487,2,0,4,2,1,2,2,7,Mystic
488,6,0,8,2,3,4,4,13,Valor
489,12,6,26,8,9,13,13,37,Instinct
490,0,0,2,2,0,1,1,4,Mystic
491,10,4,20,6,7,10,10,29,Instinct
492,6,0,8,2,3,4,4,13,Mystic
493,0,0,2,2,0,1,1,4,Valor
494,4,2,10,4,3,5,5,15,Valor
495,4,0,6,2,2,3,3,10,Valor
496,0,0,2,2,0,1,1,4,Valor
497,2,4,14,6,3,7,7,19,Mystic
498,0,2,4,2,1,2,2,6,Valor
499,8,0,10,2,4,5,5,16,Mystic
500,10,0,12,2,5,6,6,19,Mystic
501,12,4,26,6,8,13,13,36,Instinct
502,0,0,2,2,0,1,1,4,Valor
503,2,2,8,4,2,4,4,12,Valor
504,4,0,6,2,2,3,3,10,Mystic
505,4,0,6,2,2,3,3,10,Valor
506,8,0,10,2,4,5,5,16,Mystic
507,6,10,36,12,8,18,18,46,Instinct
508,18,6,40,8,12,20,20,54,Instinct
509,2,0,4,2,1,2,2,7,Mystic
510,10,6,32,8,8,16,16,42,Instinct
511,16,4,28,6,10,14,14,40,Instinct
512,4,0,6,2,2,3,3,10,Mystic
513,2,0,4,2,1,2,2,7,Mystic
514,6,0,8,2,3,4,4,13,Mystic
515,6,0,8,2,3,4,4,13,Valor
516,0,2,10,2,1,5,5,12,Mystic
517,4,2,10,4,3,5,5,15,Mystic
518,4,2,10,4,3,5,5,15,Mystic
519,20,4,30,6,12,15,15,44,Instinct
520,2,0,4,2,1,2,2,7,Valor
521,2,2,12,4,2,6,6,16,Valor
522,0,0,2,2,0,1,1,4,Valor
523,4,0,6,2,2,3,3,10,Valor
524,2,2,10,4,2,5,5,14,Mystic
525,0,2,12,4,1,6,6,15,Valor
526,0,4,10,4,2,5,5,13,Valor
527,0,2,6,4,1,3,3,9,Valor
528,4,0,6,2,2,3,3,10,Mystic
529,12,4,22,6,8,11,11,32,Instinct
530,16,8,34,10,12,17,17,48,Instinct
531,4,2,8,2,3,4,4,12,Valor
532,6,2,12,4,4,6,6,18,Valor
533,6,0,8,2,3,4,4,13,Mystic
534,4,0,6,2,2,3,3,10,Valor
535,18,6,32,8,12,16,16,46,Instinct
536,10,0,12,2,5,6,6,19,Mystic
537,2,2,12,4,2,6,6,16,Valor
538,4,0,6,2,2,3,3,10,Mystic
539,6,2,14,4,4,7,7,20,Valor
540,22,4,32,6,13,16,16,47,Instinct
541,4,2,10,4,3,5,5,15,Mystic
542,16,2,22,4,9,11,11,33,Instinct
543,0,2,6,4,1,3,3,9,Valor
544,2,2,6,2,2,3,3,9,Valor
545,10,10,32,10,10,16,16,43,Instinct
546,4,0,6,2,2,3,3,10,Mystic
547,20,0,22,2,10,11,11,34,Instinct
548,2,0,4,2,1,2,2,7,Valor
549,0,2,6,4,1,3,3,9,Mystic
550,0,0,2,2,0,1,1,4,Valor
551,10,4,24,6,7,12,12,33,Instinct
552,0,0,2,2,0,1,1,4,Mystic
553,0,2,6,2,1,3,3,8,Valor
554,16,2,22,4,9,11,11,33,Instinct
555,14,2,20,4,8,10,10,30,Instinct
556,2,2,6,2,2,3,3,9,Valor
557,2,0,4,2,1,2,2,7,Mystic
558,18,4,28,6,11,14,14,41,Instinct
559,22,4,34,4,13,17,17,48,Instinct
560,4,8,24,10,6,12,12,32,Instinct
561,14,2,20,4,8,10,10,30,Instinct
562,0,0,2,2,0,1,1,4,Valor
563,2,0,4,2,1,2,2,7,Valor
564,2,0,4,2,1,2,2,7,Mystic
565,0,2,4,2,1,2,2,6,Valor
566,10,6,24,8,8,12,12,34,Instinct
567,0,0,2,2,0,1,1,4,Valor
568,0,0,2,2,0,1,1,4,Mystic
569,18,2,24,4,10,12,12,36,Instinct
570,4,0,6,2,2,3,3,10,Mystic
571,0,0,2,2,0,1,1,4,Valor
572,0,2,4,2,1,2,2,6,Mystic
573,0,0,2,2,0,1,1,4,Mystic
574,2,0,4,2,1,2,2,7,Mystic
575,0,0,2,2,0,1,1,4,Mystic
576,14,2,20,4,8,10,10,30,Instinct
577,4,2,8,2,3,4,4,12,Mystic
578,0,0,2,2,0,1,1,4,Mystic
579,10,4,22,6,7,11,11,31,Instinct
580,8,6,32,8,7,16,16,41,Instinct
581,0,0,2,2,0,1,1,4,Mystic
582,10,6,24,8,8,12,12,34,Instinct
583,0,2,6,4,1,3,3,9,Valor
584,18,6,32,6,12,16,16,45,Instinct
585,0,0,2,2,0,1,1,4,Mystic
586,16,4,24,4,10,12,12,35,Instinct
587,0,0,2,2,0,1,1,4,Mystic
588,0,0,2,2,0,1,1,4,Mystic
589,0,0,2,2,0,1,1,4,Mystic
590,2,2,8,4,2,4,4,12,Mystic
591,12,2,18,4,7,9,9,27,Instinct
592,10,8,26,8,9,13,13,36,Instinct
593,6,0,8,2,3,4,4,13,Valor
594,2,0,4,2,1,2,2,7,Valor
595,4,2,10,4,3,5,5,15,Mystic
596,14,4,26,6,9,13,13,37,Instinct
597,12,4,22,6,8,11,11,32,Instinct
598,6,2,10,2,4,5,5,15,Mystic
599,8,0,10,2,4,5,5,16,Valor
600,2,4,10,4,3,5,5,14,Valor
601,0,0,2,2,0,1,1,4,Mystic
602,0,0,2,2,0,1,1,4,Mystic
603,10,6,26,8,8,13,13,36,Instinct
604,0,0,2,2,0,1,1,4,Mystic
